W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Chicago Bears,23.0,10.0,21.0,29.0,180.0,1.0,0.0,2.0,9.0,6.5,5.8,72.4,99.8,36.0,147.0,4.1,2.0,0.0,1.0,3.0,3.0,8.0,358.0,5.0,13.0,0.0,0.0,35:55,2017,min,2017-12-31,0.8125
1,0,0,San Francisco 49ers,24.0,16.0,20.0,36.0,227.0,2.0,0.0,3.0,17.0,6.8,5.8,55.6,93.2,32.0,116.0,3.6,0.0,1.0,1.0,3.0,3.0,6.0,230.0,7.0,17.0,0.0,1.0,31:09,2018,min,2018-09-09,1.0
0,1,1,Green Bay Packers,29.0,29.0,35.0,48.0,412.0,4.0,1.0,2.0,13.0,8.9,8.2,72.9,117.7,18.0,68.0,3.8,0.0,0.0,3.0,3.0,3.0,5.0,204.0,7.0,14.0,0.0,0.0,31:52,2018,min,2018-09-16,0.5
0,0,0,Buffalo Bills,6.0,27.0,40.0,55.0,278.0,1.0,1.0,4.0,18.0,5.4,4.7,72.7,82.2,6.0,14.0,2.3,0.0,0.0,0.0,0.0,0.0,5.0,259.0,5.0,14.0,0.0,1.0,24:15,2018,min,2018-09-23,0.3333333333333333
0,0,1,Los Angeles Rams,31.0,38.0,36.0,50.0,392.0,3.0,0.0,4.0,30.0,8.4,7.3,72.0,114.7,17.0,54.0,3.2,0.0,3.0,3.0,2.0,2.0,4.0,159.0,8.0,16.0,2.0,2.0,32:14,2018,min,2018-09-27,0.25
1,0,1,Philadelphia Eagles,23.0,21.0,30.0,37.0,298.0,1.0,0.0,1.0,3.0,8.1,7.8,81.1,109.2,23.0,77.0,3.3,0.0,3.0,5.0,2.0,2.0,2.0,78.0,4.0,11.0,0.0,0.0,32:47,2018,min,2018-10-07,0.4
1,0,0,Arizona Cardinals,27.0,17.0,24.0,34.0,216.0,1.0,1.0,4.0,17.0,6.9,5.7,70.6,84.9,32.0,195.0,6.1,2.0,2.0,2.0,3.0,3.0,5.0,225.0,5.0,14.0,0.0,1.0,34:22,2018,min,2018-10-14,0.5
1,0,1,New York Jets,37.0,17.0,25.0,40.0,228.0,2.0,0.0,1.0,13.0,6.0,5.6,62.5,94.6,24.0,88.0,3.7,2.0,3.0,4.0,4.0,4.0,8.0,382.0,2.0,15.0,1.0,1.0,32:11,2018,min,2018-10-21,0.5714285714285714
0,0,0,New Orleans Saints,20.0,30.0,31.0,41.0,338.0,2.0,1.0,4.0,21.0,8.8,7.5,75.6,105.5,22.0,85.0,3.9,1.0,0.0,0.0,2.0,3.0,2.0,81.0,5.0,10.0,2.0,3.0,31:23,2018,min,2018-10-28,0.5
1,0,0,Detroit Lions,24.0,9.0,18.0,22.0,155.0,1.0,1.0,1.0,9.0,7.5,6.7,81.8,92.2,23.0,128.0,5.6,1.0,1.0,1.0,3.0,3.0,4.0,163.0,3.0,8.0,1.0,1.0,23:15,2018,min,2018-11-04,0.5555555555555556
0,0,1,Chicago Bears,20.0,25.0,30.0,46.0,246.0,2.0,2.0,2.0,16.0,5.7,5.1,65.2,75.1,14.0,22.0,1.6,0.0,2.0,2.0,0.0,0.0,4.0,178.0,5.0,12.0,1.0,1.0,25:31,2018,min,2018-11-18,0.5
