W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,1,0,Cincinnati Bengals,38.0,35.0,31.0,52.0,406.0,4.0,1.0,2.0,13.0,8.1,7.5,59.6,101.9,34.0,96.0,2.8,1.0,1.0,2.0,5.0,5.0,6.0,294.0,6.0,16.0,0.0,0.0,36:24,2019,mia,2019-12-22,0.26666666666666666
1,0,1,New England Patriots,27.0,24.0,29.0,44.0,326.0,1.0,0.0,2.0,14.0,7.7,7.1,65.9,95.5,22.0,63.0,2.9,1.0,2.0,2.0,3.0,3.0,4.0,170.0,5.0,12.0,0.0,1.0,33:51,2019,mia,2019-12-29,0.3125
0,0,1,New England Patriots,11.0,21.0,20.0,30.0,182.0,0.0,3.0,1.0,9.0,6.4,5.9,66.7,43.3,27.0,87.0,3.2,1.0,1.0,1.0,0.0,0.0,3.0,152.0,4.0,11.0,0.0,0.0,25:11,2020,mia,2020-09-13,0.0
0,0,0,Buffalo Bills,28.0,31.0,31.0,47.0,311.0,2.0,0.0,3.0,17.0,7.0,6.2,66.0,98.8,22.0,99.0,4.5,1.0,2.0,2.0,2.0,2.0,5.0,262.0,5.0,12.0,0.0,1.0,31:05,2020,mia,2020-09-20,0.0
1,0,1,Jacksonville Jaguars,31.0,13.0,18.0,20.0,156.0,2.0,0.0,1.0,4.0,8.0,7.4,90.0,132.5,36.0,138.0,3.8,2.0,1.0,1.0,4.0,4.0,4.0,164.0,7.0,13.0,1.0,1.0,34:22,2020,mia,2020-09-24,0.3333333333333333
0,0,0,Seattle Seahawks,23.0,31.0,29.0,45.0,312.0,0.0,2.0,1.0,3.0,7.0,6.8,64.4,66.2,22.0,103.0,4.7,1.0,5.0,5.0,0.0,0.0,1.0,51.0,7.0,13.0,0.0,0.0,33:09,2020,mia,2020-10-04,0.25
1,0,1,San Francisco 49ers,43.0,17.0,22.0,28.0,342.0,3.0,0.0,2.0,8.0,12.5,11.4,78.6,153.3,33.0,94.0,2.8,1.0,5.0,5.0,4.0,4.0,2.0,84.0,4.0,12.0,2.0,2.0,36:53,2020,mia,2020-10-11,0.4
1,0,0,New York Jets,24.0,0.0,20.0,29.0,192.0,3.0,2.0,2.0,8.0,6.9,6.2,69.0,92.9,25.0,110.0,4.4,0.0,1.0,1.0,3.0,3.0,7.0,282.0,1.0,9.0,0.0,0.0,28:05,2020,mia,2020-10-18,0.5
1,0,0,Los Angeles Rams,28.0,17.0,12.0,22.0,90.0,1.0,0.0,1.0,3.0,4.2,3.9,54.5,79.7,25.0,55.0,2.2,1.0,0.0,0.0,4.0,4.0,9.0,385.0,3.0,12.0,0.0,0.0,23:30,2020,mia,2020-11-01,0.5714285714285714
1,0,1,Arizona Cardinals,34.0,31.0,20.0,28.0,221.0,2.0,0.0,3.0,27.0,8.9,7.1,71.4,118.3,25.0,91.0,3.6,1.0,2.0,2.0,4.0,4.0,3.0,125.0,4.0,8.0,0.0,0.0,28:57,2020,mia,2020-11-08,0.625
1,0,0,Los Angeles Chargers,29.0,21.0,15.0,25.0,169.0,2.0,0.0,0.0,0.0,6.8,6.8,60.0,106.9,32.0,111.0,3.5,1.0,3.0,4.0,2.0,2.0,2.0,104.0,5.0,14.0,0.0,0.0,30:06,2020,mia,2020-11-15,0.6666666666666666
0,0,1,Denver Broncos,13.0,20.0,23.0,38.0,167.0,1.0,1.0,6.0,33.0,5.3,3.8,60.5,68.6,17.0,56.0,3.3,0.0,2.0,2.0,1.0,1.0,6.0,284.0,7.0,16.0,0.0,0.0,29:41,2020,mia,2020-11-22,0.6
1,0,1,New York Jets,20.0,3.0,24.0,39.0,241.0,2.0,0.0,4.0,16.0,6.6,5.6,61.5,96.2,25.0,104.0,4.2,0.0,2.0,2.0,2.0,2.0,4.0,142.0,8.0,16.0,0.0,0.0,32:37,2020,mia,2020-11-29,0.6363636363636364
1,0,0,Cincinnati Bengals,19.0,7.0,26.0,39.0,296.0,1.0,0.0,0.0,0.0,7.6,7.6,66.7,97.8,28.0,110.0,3.9,0.0,4.0,4.0,1.0,1.0,4.0,180.0,1.0,10.0,1.0,1.0,32:16,2020,mia,2020-12-06,0.6666666666666666
0,0,0,Kansas City Chiefs,27.0,33.0,28.0,49.0,287.0,2.0,1.0,4.0,29.0,6.4,5.4,57.1,79.2,24.0,80.0,3.3,1.0,2.0,3.0,3.0,3.0,5.0,234.0,7.0,15.0,0.0,0.0,31:30,2020,mia,2020-12-13,0.6153846153846154
1,0,0,New England Patriots,22.0,12.0,20.0,26.0,133.0,0.0,1.0,2.0,12.0,5.6,4.8,76.9,71.5,42.0,250.0,6.0,3.0,0.0,1.0,2.0,2.0,3.0,140.0,7.0,12.0,1.0,1.0,37:26,2020,mia,2020-12-20,0.6428571428571429
1,0,1,Las Vegas Raiders,26.0,25.0,26.0,35.0,253.0,2.0,0.0,3.0,23.0,7.9,6.7,74.3,113.2,25.0,130.0,5.2,0.0,4.0,4.0,2.0,2.0,5.0,233.0,5.0,15.0,2.0,2.0,33:01,2020,mia,2020-12-26,0.6666666666666666
0,0,1,Buffalo Bills,26.0,56.0,36.0,59.0,384.0,1.0,3.0,1.0,9.0,6.7,6.4,61.0,64.5,20.0,70.0,3.5,2.0,2.0,2.0,2.0,2.0,5.0,218.0,3.0,14.0,1.0,2.0,32:38,2020,mia,2020-01-03,0.625
1,0,1,New England Patriots,17.0,16.0,16.0,27.0,185.0,1.0,1.0,2.0,17.0,7.5,6.4,59.3,76.9,23.0,74.0,3.2,1.0,1.0,1.0,2.0,2.0,4.0,180.0,4.0,11.0,0.0,0.0,23:17,2021,mia,2021-09-12,1.0
0,0,0,Buffalo Bills,0.0,35.0,25.0,44.0,145.0,0.0,1.0,6.0,37.0,4.1,2.9,56.8,53.7,20.0,71.0,3.6,0.0,0.0,0.0,0.0,0.0,5.0,222.0,8.0,18.0,0.0,4.0,31:34,2021,mia,2021-09-19,0.5
0,1,1,Las Vegas Raiders,28.0,31.0,32.0,49.0,197.0,0.0,0.0,2.0,18.0,4.4,3.9,65.3,73.3,27.0,133.0,4.9,2.0,2.0,3.0,2.0,2.0,4.0,155.0,6.0,18.0,3.0,4.0,31:13,2021,mia,2021-09-26,0.3333333333333333
0,0,0,Indianapolis Colts,17.0,27.0,20.0,30.0,168.0,2.0,0.0,3.0,31.0,6.6,5.1,66.7,103.2,16.0,35.0,2.2,0.0,1.0,1.0,2.0,2.0,5.0,239.0,3.0,11.0,2.0,2.0,22:51,2021,mia,2021-10-03,0.25
0,0,1,Tampa Bay Buccaneers,17.0,45.0,27.0,39.0,262.0,2.0,1.0,3.0,13.0,7.1,6.2,69.2,94.2,9.0,39.0,4.3,0.0,1.0,1.0,2.0,2.0,4.0,154.0,2.0,7.0,0.0,0.0,22:53,2021,mia,2021-10-10,0.2
0,0,1,Jacksonville Jaguars,20.0,23.0,34.0,48.0,354.0,2.0,1.0,0.0,0.0,7.4,7.4,70.8,97.0,20.0,77.0,3.9,0.0,2.0,3.0,2.0,2.0,4.0,158.0,9.0,17.0,1.0,2.0,32:40,2021,mia,2021-10-17,0.16666666666666666
0,0,0,Atlanta Falcons,28.0,30.0,32.0,40.0,281.0,4.0,2.0,1.0,10.0,7.3,6.9,80.0,108.4,29.0,132.0,4.6,0.0,0.0,1.0,4.0,4.0,3.0,154.0,7.0,11.0,0.0,0.0,34:38,2021,mia,2021-10-24,0.14285714285714285
0,0,1,Buffalo Bills,11.0,26.0,21.0,39.0,194.0,0.0,1.0,2.0,11.0,5.3,4.7,53.8,57.0,23.0,68.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0,259.0,4.0,14.0,1.0,1.0,29:13,2021,mia,2021-10-31,0.125
1,0,0,Houston Texans,17.0,9.0,26.0,43.0,215.0,1.0,2.0,4.0,29.0,5.7,4.6,60.5,61.7,25.0,47.0,1.9,1.0,1.0,1.0,2.0,2.0,5.0,207.0,9.0,16.0,0.0,0.0,31:52,2021,mia,2021-11-07,0.2222222222222222
1,0,0,Baltimore Ravens,22.0,10.0,19.0,36.0,290.0,0.0,0.0,4.0,24.0,8.7,7.3,52.8,79.6,22.0,60.0,2.7,1.0,3.0,3.0,1.0,1.0,8.0,348.0,3.0,13.0,0.0,0.0,28:11,2021,mia,2021-11-11,0.3
