Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
8,Thu,8:20PM ET,1,0,6-2,0,Washington Redskins,19.0,9.0,22.0,434.0,273.0,161.0,1.0,14.0,216.0,131.0,85.0,2.0,6.29,5.06,-2.48,2019,0.75,min,2019-10-24
9,Sun,1:00PM ET,0,0,6-3,1,Kansas City Chiefs,23.0,26.0,17.0,308.0,212.0,96.0,0.0,17.0,377.0,230.0,147.0,1.0,3.06,-7.56,0.23,2019,0.6666666666666666,min,2019-11-03
10,Sun,8:20PM ET,1,0,7-3,1,Dallas Cowboys,28.0,24.0,27.0,364.0,211.0,153.0,0.0,24.0,443.0,393.0,50.0,1.0,18.73,-18.62,2.89,2019,0.7,min,2019-11-10
11,Sun,1:00PM ET,1,0,8-3,0,Denver Broncos,27.0,23.0,19.0,321.0,284.0,37.0,2.0,20.0,394.0,270.0,124.0,1.0,8.51,-4.61,-2.33,2019,0.7272727272727273,min,2019-11-17
13,Mon,8:15PM ET,0,0,8-4,1,Seattle Seahawks,30.0,37.0,17.0,354.0,276.0,78.0,3.0,24.0,444.0,226.0,218.0,2.0,6.46,-5.79,-10.5,2019,0.6666666666666666,min,2019-12-02
14,Sun,1:00PM ET,1,0,9-4,0,Detroit Lions,20.0,7.0,22.0,354.0,234.0,120.0,0.0,18.0,231.0,161.0,70.0,2.0,3.77,7.27,-0.3,2019,0.6923076923076923,min,2019-12-08
15,Sun,4:05PM ET,1,0,10-4,1,Los Angeles Chargers,39.0,10.0,18.0,344.0,207.0,137.0,1.0,17.0,345.0,283.0,62.0,7.0,5.27,20.63,-0.79,2019,0.7142857142857143,min,2019-12-15
16,Mon,8:15PM ET,0,0,10-5,0,Green Bay Packers,10.0,23.0,7.0,139.0,82.0,57.0,1.0,22.0,383.0,199.0,184.0,3.0,-25.86,5.18,6.94,2019,0.6666666666666666,min,2019-12-23
17,Sun,1:00PM ET,0,0,10-6,0,Chicago Bears,19.0,21.0,14.0,300.0,126.0,174.0,3.0,24.0,337.0,179.0,158.0,1.0,2.15,-1.26,1.08,2019,0.625,min,2019-12-29
Wild Card,Sun,1:05PM ET,1,1,11-6,1,New Orleans Saints,26.0,20.0,22.0,362.0,226.0,136.0,1.0,19.0,324.0,227.0,97.0,2.0,3.22,-1.72,3.43,2019,0.6470588235294118,min,2019-01-05
Division,Sat,4:35PM ET,0,0,11-7,1,San Francisco 49ers,10.0,27.0,7.0,147.0,126.0,21.0,2.0,21.0,308.0,122.0,186.0,2.0,-16.91,-0.66,0.78,2019,0.6111111111111112,min,2019-01-11
