Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
1,Mon,10:10PM ET,1,0,1-0,1,Denver Broncos,16.0,14.0,26.0,377.0,247.0,130.0,0.0,19.0,323.0,216.0,107.0,1.0,12.3,-3.03,-11.9,2020,1.0,oti,2020-09-14
2,Sun,1:00PM ET,1,0,2-0,0,Jacksonville Jaguars,33.0,30.0,23.0,354.0,231.0,123.0,0.0,30.0,480.0,315.0,165.0,2.0,21.12,-18.68,3.05,2020,1.0,oti,2020-09-20
3,Sun,1:00PM ET,1,0,3-0,1,Minnesota Vikings,31.0,30.0,23.0,444.0,310.0,134.0,1.0,22.0,464.0,238.0,226.0,3.0,3.79,-10.21,7.95,2020,1.0,oti,2020-09-27
5,Tue,7:00PM ET,1,0,4-0,0,Buffalo Bills,42.0,16.0,25.0,334.0,195.0,139.0,0.0,23.0,370.0,275.0,95.0,3.0,24.29,-1.55,0.82,2020,1.0,oti,2020-10-13
6,Sun,1:00PM ET,1,1,5-0,0,Houston Texans,42.0,36.0,31.0,607.0,344.0,263.0,2.0,25.0,412.0,320.0,92.0,0.0,33.45,-22.14,-5.31,2020,1.0,oti,2020-10-18
7,Sun,1:00PM ET,0,0,5-1,0,Pittsburgh Steelers,24.0,27.0,15.0,292.0,210.0,82.0,0.0,23.0,362.0,268.0,94.0,3.0,6.99,-6.7,-3.88,2020,0.8333333333333334,oti,2020-10-25
8,Sun,1:00PM ET,0,0,5-2,1,Cincinnati Bengals,20.0,31.0,27.0,441.0,223.0,218.0,1.0,27.0,367.0,249.0,118.0,0.0,19.91,-23.57,-5.56,2020,0.7142857142857143,oti,2020-11-01
9,Sun,1:00PM ET,1,0,6-2,0,Chicago Bears,24.0,17.0,11.0,228.0,136.0,92.0,0.0,22.0,375.0,319.0,56.0,2.0,-3.34,12.79,-1.5,2020,0.75,oti,2020-11-08
10,Thu,8:20PM ET,0,0,6-3,0,Indianapolis Colts,17.0,34.0,25.0,294.0,137.0,157.0,0.0,26.0,430.0,297.0,133.0,0.0,9.37,-17.58,-6.81,2020,0.6666666666666666,oti,2020-11-12
11,Sun,1:00PM ET,1,1,7-3,1,Baltimore Ravens,30.0,24.0,26.0,423.0,250.0,173.0,1.0,21.0,306.0,177.0,129.0,1.0,13.91,-7.48,0.86,2020,0.7,oti,2020-11-22
