W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Atlanta Falcons,23.0,13.0,21.0,28.0,229.0,1.0,1.0,1.0,10.0,8.5,7.9,75.0,95.7,31.0,86.0,2.8,1.0,3.0,3.0,2.0,2.0,6.0,268.0,3.0,13.0,1.0,1.0,33:48,2017,nor,2017-12-24,0.7333333333333333
0,0,1,Tampa Bay Buccaneers,24.0,31.0,22.0,30.0,231.0,1.0,0.0,2.0,14.0,8.2,7.2,73.3,106.4,26.0,92.0,3.5,1.0,1.0,1.0,3.0,3.0,4.0,185.0,6.0,12.0,0.0,1.0,28:27,2017,nor,2017-12-31,0.6875
0,0,0,Tampa Bay Buccaneers,40.0,48.0,37.0,45.0,432.0,3.0,0.0,1.0,7.0,9.8,9.4,82.2,128.9,13.0,43.0,3.3,2.0,1.0,1.0,3.0,3.0,3.0,156.0,4.0,9.0,1.0,1.0,27:51,2018,nor,2018-09-09,0.0
1,0,0,Cleveland Browns,21.0,18.0,28.0,35.0,213.0,2.0,0.0,3.0,30.0,6.9,5.6,80.0,111.1,23.0,62.0,2.7,0.0,2.0,3.0,1.0,1.0,4.0,179.0,3.0,12.0,0.0,0.0,32:41,2018,nor,2018-09-16,0.5
1,1,1,Atlanta Falcons,43.0,37.0,39.0,49.0,391.0,3.0,0.0,1.0,5.0,8.1,7.8,79.6,120.3,27.0,143.0,5.3,2.0,3.0,3.0,4.0,4.0,4.0,202.0,7.0,14.0,1.0,1.0,37:45,2018,nor,2018-09-23,0.6666666666666666
1,0,1,New York Giants,33.0,18.0,19.0,34.0,219.0,0.0,0.0,1.0,8.0,6.7,6.3,55.9,75.5,32.0,170.0,5.3,3.0,4.0,4.0,3.0,3.0,2.0,95.0,5.0,13.0,1.0,1.0,31:00,2018,nor,2018-09-30,0.75
1,0,0,Washington Redskins,43.0,19.0,26.0,29.0,349.0,3.0,0.0,2.0,14.0,12.5,11.3,89.7,151.3,32.0,98.0,3.1,3.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,9.0,0.0,0.0,33:17,2018,nor,2018-10-08,0.8
1,0,1,Baltimore Ravens,24.0,23.0,22.0,30.0,205.0,2.0,0.0,1.0,7.0,7.1,6.6,73.3,113.9,39.0,134.0,3.4,1.0,1.0,1.0,3.0,3.0,2.0,88.0,6.0,14.0,4.0,5.0,33:31,2018,nor,2018-10-21,0.8333333333333334
1,0,1,Minnesota Vikings,30.0,20.0,19.0,24.0,164.0,1.0,1.0,0.0,0.0,6.8,6.8,79.2,91.7,29.0,106.0,3.7,1.0,3.0,3.0,3.0,3.0,2.0,86.0,4.0,9.0,0.0,0.0,28:37,2018,nor,2018-10-28,0.8571428571428571
1,0,0,Los Angeles Rams,45.0,35.0,25.0,36.0,346.0,4.0,0.0,0.0,0.0,9.6,9.6,69.4,137.0,34.0,141.0,4.1,2.0,1.0,1.0,6.0,6.0,2.0,67.0,7.0,12.0,2.0,2.0,33:41,2018,nor,2018-11-04,0.875
