Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
16,Sun,4:05PM ET,0,0,5-10,1,Los Angeles Chargers,16.0,19.0,23.0,396.0,263.0,133.0,2.0,16.0,316.0,227.0,89.0,0.0,4.25,-1.63,-4.44,2020,0.3333333333333333,den,2020-12-27
17,Sun,4:25PM ET,0,0,5-11,0,Las Vegas Raiders,31.0,32.0,24.0,446.0,324.0,122.0,0.0,22.0,465.0,359.0,106.0,4.0,13.17,-4.45,-8.91,2020,0.3125,den,2020-01-03
1,Sun,4:25PM ET,1,0,1-0,1,New York Giants,27.0,13.0,24.0,420.0,255.0,165.0,1.0,19.0,314.0,254.0,60.0,1.0,20.31,-3.89,-3.35,2021,1.0,den,2021-09-12
2,Sun,1:00PM ET,1,0,2-0,1,Jacksonville Jaguars,23.0,13.0,22.0,398.0,302.0,96.0,0.0,12.0,189.0,114.0,75.0,2.0,13.99,2.8,2.29,2021,1.0,den,2021-09-19
3,Sun,4:05PM ET,1,0,3-0,0,New York Jets,26.0,0.0,23.0,343.0,223.0,120.0,1.0,11.0,162.0,119.0,43.0,2.0,4.68,27.58,-1.98,2021,1.0,den,2021-09-26
4,Sun,4:25PM ET,0,0,3-1,0,Baltimore Ravens,7.0,23.0,15.0,254.0,148.0,106.0,1.0,20.0,406.0,304.0,102.0,0.0,-10.92,-3.9,-1.59,2021,0.75,den,2021-10-03
5,Sun,1:00PM ET,0,0,3-2,1,Pittsburgh Steelers,19.0,27.0,17.0,374.0,268.0,106.0,1.0,19.0,391.0,244.0,147.0,1.0,5.37,-11.44,-1.98,2021,0.6,den,2021-10-10
6,Sun,4:25PM ET,0,0,3-3,0,Las Vegas Raiders,24.0,34.0,25.0,421.0,309.0,112.0,4.0,16.0,426.0,340.0,86.0,0.0,2.97,-16.95,1.18,2021,0.5,den,2021-10-17
7,Thu,8:20PM ET,0,0,3-4,1,Cleveland Browns,14.0,17.0,15.0,223.0,182.0,41.0,1.0,23.0,376.0,194.0,182.0,0.0,4.39,-13.24,1.9,2021,0.42857142857142855,den,2021-10-21
8,Sun,4:25PM ET,1,0,4-4,0,Washington Football Team,17.0,10.0,17.0,273.0,190.0,83.0,1.0,21.0,342.0,230.0,112.0,2.0,5.1,-1.75,2.71,2021,0.5,den,2021-10-31
9,Sun,1:00PM ET,1,0,5-4,1,Dallas Cowboys,30.0,16.0,23.0,407.0,217.0,190.0,0.0,14.0,290.0,212.0,78.0,2.0,12.79,5.92,-1.79,2021,0.5555555555555556,den,2021-11-07
10,Sun,4:25PM ET,0,0,5-5,0,Philadelphia Eagles,13.0,30.0,17.0,308.0,212.0,96.0,1.0,22.0,386.0,170.0,216.0,1.0,-6.62,-8.45,0.91,2021,0.5,den,2021-11-14
