W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Buffalo Bills,22.0,0.0,22.0,40.0,282.0,1.0,1.0,2.0,16.0,7.5,6.7,55.0,75.2,32.0,141.0,4.4,1.0,3.0,3.0,1.0,2.0,4.0,171.0,11.0,19.0,0.0,1.0,34:37,2018,gnb,2018-09-30,0.5
0,0,1,Detroit Lions,23.0,31.0,32.0,52.0,423.0,3.0,0.0,4.0,19.0,8.5,7.6,61.5,106.5,20.0,98.0,4.9,0.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,10.0,2.0,2.0,33:20,2018,gnb,2018-10-07,0.4
1,0,0,San Francisco 49ers,33.0,30.0,25.0,46.0,405.0,2.0,0.0,3.0,20.0,9.2,8.3,54.3,98.6,21.0,116.0,5.5,1.0,4.0,4.0,3.0,3.0,4.0,155.0,4.0,13.0,1.0,2.0,31:08,2018,gnb,2018-10-15,0.5
0,0,1,Los Angeles Rams,27.0,29.0,18.0,30.0,253.0,1.0,0.0,3.0,33.0,9.5,7.7,60.0,98.3,19.0,106.0,5.6,2.0,2.0,2.0,3.0,3.0,5.0,214.0,2.0,9.0,0.0,0.0,25:50,2018,gnb,2018-10-28,0.42857142857142855
0,0,1,New England Patriots,17.0,31.0,24.0,43.0,250.0,2.0,0.0,1.0,9.0,6.0,5.7,55.8,88.3,25.0,117.0,4.7,0.0,1.0,1.0,2.0,2.0,5.0,210.0,6.0,13.0,0.0,1.0,32:34,2018,gnb,2018-11-04,0.375
1,0,0,Miami Dolphins,31.0,12.0,19.0,28.0,182.0,2.0,0.0,2.0,17.0,7.1,6.1,67.9,109.5,25.0,195.0,7.8,2.0,1.0,1.0,4.0,4.0,2.0,37.0,4.0,10.0,1.0,2.0,27:52,2018,gnb,2018-11-11,0.4444444444444444
0,0,1,Seattle Seahawks,24.0,27.0,21.0,30.0,311.0,2.0,0.0,5.0,21.0,11.1,8.9,70.0,125.8,13.0,48.0,3.7,1.0,1.0,2.0,3.0,3.0,6.0,284.0,3.0,11.0,0.0,0.0,25:42,2018,gnb,2018-11-15,0.4
0,0,1,Minnesota Vikings,17.0,24.0,17.0,28.0,172.0,1.0,0.0,4.0,26.0,7.1,5.4,60.7,90.2,19.0,82.0,4.3,1.0,1.0,1.0,2.0,2.0,6.0,276.0,2.0,10.0,0.0,1.0,25:23,2018,gnb,2018-11-25,0.36363636363636365
0,0,0,Arizona Cardinals,17.0,20.0,31.0,50.0,227.0,1.0,0.0,1.0,6.0,4.7,4.5,62.0,79.3,23.0,98.0,4.3,1.0,1.0,2.0,2.0,2.0,7.0,339.0,3.0,14.0,2.0,2.0,32:26,2018,gnb,2018-12-02,0.3333333333333333
1,0,0,Atlanta Falcons,34.0,20.0,21.0,32.0,162.0,2.0,0.0,4.0,34.0,6.1,4.5,65.6,98.7,25.0,138.0,5.5,1.0,2.0,2.0,4.0,4.0,4.0,169.0,7.0,13.0,0.0,0.0,29:11,2018,gnb,2018-12-09,0.38461538461538464
