Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
7,Mon,8:15PM ET,0,0,5-2,1,Los Angeles Rams,10.0,24.0,14.0,279.0,230.0,49.0,2.0,24.0,371.0,211.0,160.0,1.0,-17.34,-3.2,5.7,2020,0.7142857142857143,chi,2020-10-26
8,Sun,4:25PM ET,0,1,5-3,0,New Orleans Saints,23.0,26.0,18.0,329.0,233.0,96.0,1.0,23.0,394.0,272.0,122.0,0.0,0.1,-6.13,4.3,2020,0.625,chi,2020-11-01
9,Sun,1:00PM ET,0,0,5-4,1,Tennessee Titans,17.0,24.0,22.0,375.0,319.0,56.0,2.0,11.0,228.0,136.0,92.0,0.0,-12.79,3.34,1.5,2020,0.5555555555555556,chi,2020-11-08
10,Mon,8:15PM ET,0,0,5-5,0,Minnesota Vikings,13.0,19.0,10.0,149.0,108.0,41.0,2.0,19.0,385.0,286.0,99.0,2.0,-18.69,3.86,8.08,2020,0.5,chi,2020-11-16
12,Sun,8:20PM ET,0,0,5-6,1,Green Bay Packers,25.0,41.0,26.0,350.0,229.0,121.0,3.0,28.0,393.0,211.0,182.0,0.0,6.85,-27.57,-0.48,2020,0.45454545454545453,chi,2020-11-29
13,Sun,1:00PM ET,0,0,5-7,0,Detroit Lions,30.0,34.0,26.0,389.0,249.0,140.0,1.0,24.0,460.0,400.0,60.0,1.0,12.1,-17.66,0.8,2020,0.4166666666666667,chi,2020-12-06
14,Sun,1:00PM ET,1,0,6-7,0,Houston Texans,36.0,7.0,23.0,410.0,241.0,169.0,0.0,17.0,263.0,155.0,108.0,2.0,16.71,8.67,2.22,2020,0.46153846153846156,chi,2020-12-13
15,Sun,1:00PM ET,1,0,7-7,1,Minnesota Vikings,33.0,27.0,23.0,397.0,198.0,199.0,1.0,26.0,407.0,249.0,158.0,1.0,14.23,-11.76,4.0,2020,0.5,chi,2020-12-20
16,Sun,1:00PM ET,1,0,8-7,1,Jacksonville Jaguars,41.0,17.0,28.0,391.0,263.0,128.0,1.0,14.0,279.0,203.0,76.0,2.0,20.23,4.85,-2.73,2020,0.5333333333333333,chi,2020-12-27
17,Sun,4:25PM ET,0,0,8-8,0,Green Bay Packers,16.0,35.0,21.0,356.0,248.0,108.0,2.0,17.0,316.0,237.0,79.0,1.0,4.91,-22.83,3.56,2020,0.5,chi,2020-01-03
