Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
3,Sun,4:05PM ET,0,0,0-2-1,0,Carolina Panthers,20.0,38.0,21.0,248.0,127.0,121.0,2.0,21.0,413.0,240.0,173.0,1.0,-3.15,-19.08,3.46,2019,0.0,crd,2019-09-22
4,Sun,4:05PM ET,0,0,0-3-1,0,Seattle Seahawks,10.0,27.0,20.0,321.0,206.0,115.0,1.0,21.0,340.0,225.0,115.0,0.0,-0.78,-10.61,-2.81,2019,0.0,crd,2019-09-29
5,Sun,1:00PM ET,1,0,1-3-1,1,Cincinnati Bengals,26.0,23.0,26.0,514.0,248.0,266.0,0.0,21.0,370.0,262.0,108.0,0.0,21.22,-9.27,-8.95,2019,0.2,crd,2019-10-06
6,Sun,4:05PM ET,1,0,2-3-1,0,Atlanta Falcons,34.0,33.0,24.0,442.0,340.0,102.0,0.0,31.0,444.0,341.0,103.0,0.0,23.23,-24.99,0.25,2019,0.3333333333333333,crd,2019-10-13
7,Sun,1:00PM ET,1,0,3-3-1,1,New York Giants,27.0,21.0,18.0,245.0,89.0,156.0,0.0,21.0,263.0,156.0,107.0,3.0,3.73,8.02,-2.98,2019,0.42857142857142855,crd,2019-10-20
8,Sun,1:00PM ET,0,0,3-4-1,1,New Orleans Saints,9.0,31.0,10.0,237.0,197.0,40.0,0.0,28.0,510.0,373.0,137.0,1.0,-11.97,-24.66,9.91,2019,0.375,crd,2019-10-27
9,Thu,8:20PM ET,0,0,3-5-1,0,San Francisco 49ers,25.0,28.0,19.0,357.0,204.0,153.0,0.0,21.0,411.0,310.0,101.0,0.0,13.71,-18.45,-0.88,2019,0.3333333333333333,crd,2019-10-31
10,Sun,1:00PM ET,0,0,3-6-1,1,Tampa Bay Buccaneers,27.0,30.0,20.0,417.0,342.0,75.0,2.0,26.0,457.0,339.0,118.0,3.0,1.71,-9.52,3.53,2019,0.3,crd,2019-11-10
11,Sun,4:05PM ET,0,0,3-7-1,1,San Francisco 49ers,26.0,36.0,21.0,266.0,131.0,135.0,2.0,26.0,442.0,408.0,34.0,2.0,0.09,-8.92,-1.17,2019,0.2727272727272727,crd,2019-11-17
13,Sun,4:05PM ET,0,0,3-8-1,0,Los Angeles Rams,7.0,34.0,13.0,198.0,124.0,74.0,1.0,27.0,549.0,417.0,132.0,0.0,-16.98,-18.95,10.38,2019,0.25,crd,2019-12-01
14,Sun,4:25PM ET,0,0,3-9-1,0,Pittsburgh Steelers,17.0,23.0,17.0,236.0,165.0,71.0,3.0,20.0,275.0,135.0,140.0,2.0,-5.35,-5.34,2.85,2019,0.23076923076923078,crd,2019-12-08
15,Sun,4:05PM ET,1,0,4-9-1,0,Cleveland Browns,38.0,24.0,26.0,445.0,219.0,226.0,1.0,25.0,393.0,241.0,152.0,2.0,24.27,-10.72,1.61,2019,0.2857142857142857,crd,2019-12-15
16,Sun,4:25PM ET,1,0,5-9-1,1,Seattle Seahawks,27.0,13.0,21.0,412.0,159.0,253.0,0.0,13.0,224.0,133.0,91.0,1.0,10.12,13.87,-6.82,2019,0.3333333333333333,crd,2019-12-22
17,Sun,4:25PM ET,0,0,5-10-1,1,Los Angeles Rams,24.0,31.0,22.0,393.0,322.0,71.0,5.0,25.0,424.0,311.0,113.0,0.0,3.53,-16.31,5.85,2019,0.3125,crd,2019-12-29
1,Sun,4:25PM ET,1,0,1-0,1,San Francisco 49ers,24.0,20.0,29.0,404.0,224.0,180.0,1.0,18.0,366.0,243.0,123.0,0.0,6.46,-3.88,-0.46,2020,1.0,crd,2020-09-13
2,Sun,4:05PM ET,1,0,2-0,0,Washington Football Team,30.0,15.0,22.0,438.0,278.0,160.0,1.0,19.0,316.0,199.0,117.0,2.0,8.92,0.18,6.91,2020,1.0,crd,2020-09-20
3,Sun,4:25PM ET,0,0,2-1,0,Detroit Lions,23.0,26.0,28.0,377.0,268.0,109.0,3.0,22.0,322.0,232.0,90.0,0.0,8.07,-8.15,-2.46,2020,0.6666666666666666,crd,2020-09-27
4,Sun,1:00PM ET,0,0,2-2,1,Carolina Panthers,21.0,31.0,21.0,262.0,133.0,129.0,1.0,30.0,444.0,276.0,168.0,1.0,8.53,-23.36,3.47,2020,0.5,crd,2020-10-04
