W/L,OT,@,Opp,TmScore,OppScore,PassCmp,PassAtt,PassYds,PassTd,PassInt,Sacks,SackYds,PassY/A,PassNY/A,Cmp%,Qbr,RushAtt,RushYds,RushY/A,RushTd,FGM,FGA,XPM,XPA,Pnt,PntYds,3DConv,3DAtt,4DConv,4DAtt,ToP,Year,Team,Timestamp,Win%
1,0,0,Detroit Lions,30.0,27.0,18.0,26.0,156.0,2.0,0.0,6.0,50.0,7.9,4.9,69.2,110.4,28.0,190.0,6.8,1.0,3.0,3.0,3.0,3.0,5.0,227.0,3.0,11.0,0.0,0.0,29:34,2018,sfo,2018-09-16,0.5
0,0,1,Kansas City Chiefs,27.0,38.0,20.0,30.0,228.0,2.0,0.0,4.0,23.0,8.4,6.7,66.7,111.5,29.0,178.0,6.1,1.0,2.0,2.0,1.0,2.0,4.0,148.0,2.0,9.0,2.0,2.0,29:59,2018,sfo,2018-09-23,0.3333333333333333
0,0,1,Los Angeles Chargers,27.0,29.0,23.0,37.0,288.0,2.0,2.0,1.0,10.0,8.1,7.6,62.2,81.8,21.0,76.0,3.6,0.0,2.0,2.0,3.0,3.0,5.0,235.0,5.0,12.0,0.0,0.0,27:34,2018,sfo,2018-09-30,0.25
0,0,0,Arizona Cardinals,18.0,28.0,34.0,54.0,300.0,2.0,2.0,4.0,49.0,6.5,5.2,63.0,74.6,34.0,147.0,4.3,1.0,0.0,1.0,0.0,0.0,4.0,177.0,10.0,17.0,1.0,2.0,40:12,2018,sfo,2018-10-07,0.2
0,0,1,Green Bay Packers,30.0,33.0,16.0,23.0,227.0,2.0,1.0,2.0,18.0,10.7,9.1,69.6,112.0,30.0,174.0,5.8,1.0,3.0,3.0,3.0,3.0,3.0,126.0,2.0,9.0,0.0,0.0,28:52,2018,sfo,2018-10-15,0.16666666666666666
0,0,0,Los Angeles Rams,10.0,39.0,15.0,27.0,121.0,1.0,2.0,7.0,49.0,6.3,3.6,55.6,48.5,24.0,107.0,4.5,0.0,1.0,1.0,1.0,1.0,5.0,160.0,3.0,11.0,0.0,1.0,27:09,2018,sfo,2018-10-21,0.14285714285714285
0,0,1,Arizona Cardinals,15.0,18.0,14.0,28.0,160.0,1.0,0.0,4.0,30.0,6.8,5.0,50.0,79.5,31.0,107.0,3.5,0.0,2.0,2.0,1.0,1.0,7.0,285.0,5.0,14.0,0.0,0.0,32:19,2018,sfo,2018-10-28,0.125
1,0,0,Oakland Raiders,34.0,3.0,16.0,22.0,262.0,3.0,0.0,0.0,0.0,11.9,11.9,72.7,151.9,32.0,143.0,4.5,1.0,2.0,2.0,4.0,4.0,3.0,164.0,5.0,12.0,0.0,0.0,28:34,2018,sfo,2018-11-01,0.2222222222222222
0,0,0,New York Giants,23.0,27.0,27.0,39.0,250.0,1.0,2.0,0.0,0.0,6.4,6.4,69.2,73.7,29.0,124.0,4.3,1.0,3.0,3.0,2.0,2.0,3.0,133.0,8.0,13.0,0.0,0.0,34:14,2018,sfo,2018-11-12,0.2
0,0,1,Tampa Bay Buccaneers,9.0,27.0,18.0,32.0,194.0,1.0,2.0,4.0,27.0,6.9,5.4,56.3,58.6,24.0,148.0,6.2,0.0,1.0,1.0,0.0,1.0,6.0,260.0,1.0,8.0,0.0,0.0,25:51,2018,sfo,2018-11-25,0.18181818181818182
0,0,1,Seattle Seahawks,16.0,43.0,30.0,48.0,386.0,2.0,1.0,3.0,28.0,8.6,7.6,62.5,92.9,23.0,66.0,2.9,0.0,1.0,1.0,1.0,1.0,5.0,202.0,7.0,16.0,1.0,2.0,32:30,2018,sfo,2018-12-02,0.16666666666666666
