Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
16,Sat,December 21,4:30PM ET,boxscore,1,0,12-3,0,Buffalo Bills,24.0,17.0,23.0,414.0,271.0,143.0,1.0,14.0,268.0,176.0,92.0,0.0,6.06,0.45,-0.88,2019,nwe,December,21,2019/December/21,2019-12-21
17,Sun,December 29,1:00PM ET,boxscore,0,0,12-4,0,Miami Dolphins,24.0,27.0,18.0,352.0,217.0,135.0,2.0,26.0,389.0,326.0,63.0,0.0,6.29,-13.34,4.09,2019,nwe,December,29,2019/December/29,2019-12-29
Wild Card,Sat,January 4,8:15PM ET,boxscore,0,0,12-5,0,Tennessee Titans,13.0,20.0,18.0,307.0,209.0,98.0,2.0,19.0,272.0,71.0,201.0,1.0,-0.84,-2.83,-0.2,2019,nwe,January,4,2019/January/4,2019-01-04
1,Sun,September 13,1:00PM ET,boxscore,1,0,1-0,0,Miami Dolphins,21.0,11.0,29.0,357.0,140.0,217.0,1.0,20.0,269.0,182.0,87.0,3.0,14.11,2.2,-5.64,2020,nwe,September,13,2020/September/13,2020-09-13
2,Sun,September 20,8:20PM ET,boxscore,0,0,1-1,1,Seattle Seahawks,30.0,35.0,29.0,464.0,397.0,67.0,1.0,22.0,429.0,275.0,154.0,1.0,19.82,-14.54,-6.98,2020,nwe,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,1,0,2-1,0,Las Vegas Raiders,36.0,20.0,25.0,406.0,156.0,250.0,1.0,22.0,375.0,249.0,126.0,3.0,11.03,-0.71,5.81,2020,nwe,September,27,2020/September/27,2020-09-27
4,Mon,October 5,7:05PM ET,boxscore,0,0,2-2,1,Kansas City Chiefs,10.0,26.0,21.0,357.0,172.0,185.0,4.0,19.0,323.0,229.0,94.0,1.0,-10.82,-5.72,3.78,2020,nwe,October,5,2020/October/5,2020-10-05
6,Sun,October 18,1:00PM ET,boxscore,0,0,2-3,0,Denver Broncos,12.0,18.0,14.0,288.0,171.0,117.0,3.0,15.0,299.0,164.0,135.0,2.0,-13.3,6.67,1.59,2020,nwe,October,18,2020/October/18,2020-10-18
7,Sun,October 25,4:25PM ET,boxscore,0,0,2-4,0,San Francisco 49ers,6.0,33.0,17.0,241.0,147.0,94.0,4.0,26.0,467.0,270.0,197.0,2.0,-9.49,-22.44,6.55,2020,nwe,October,25,2020/October/25,2020-10-25
8,Sun,November 1,1:00PM ET,boxscore,0,0,2-5,1,Buffalo Bills,21.0,24.0,20.0,349.0,161.0,188.0,1.0,22.0,339.0,149.0,190.0,1.0,8.26,-8.85,-0.85,2020,nwe,November,1,2020/November/1,2020-11-01
9,Mon,November 9,8:15PM ET,boxscore,1,0,3-5,1,New York Jets,30.0,27.0,30.0,433.0,274.0,159.0,0.0,18.0,322.0,257.0,65.0,1.0,18.7,-18.71,2.16,2020,nwe,November,9,2020/November/9,2020-11-09
