Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
6,Mon,5:00PM ET,1,0,5-1,1,Buffalo Bills,26.0,17.0,27.0,466.0,221.0,245.0,1.0,20.0,206.0,122.0,84.0,1.0,21.56,-4.19,-8.48,2020,kan,October,19,2020-10-19
7,Sun,4:25PM ET,1,0,6-1,1,Denver Broncos,43.0,16.0,17.0,286.0,185.0,101.0,1.0,24.0,411.0,234.0,177.0,4.0,3.75,15.83,6.31,2020,kan,October,25,2020-10-25
8,Sun,1:00PM ET,1,0,7-1,0,New York Jets,35.0,9.0,25.0,496.0,446.0,50.0,0.0,13.0,221.0,128.0,93.0,1.0,21.48,8.29,-6.95,2020,kan,November,1,2020-11-01
9,Sun,1:00PM ET,1,0,8-1,0,Carolina Panthers,33.0,31.0,24.0,397.0,361.0,36.0,1.0,30.0,435.0,331.0,104.0,0.0,20.48,-19.28,-1.85,2020,kan,November,8,2020-11-08
11,Sun,8:20PM ET,1,0,9-1,1,Las Vegas Raiders,35.0,31.0,36.0,460.0,352.0,108.0,1.0,25.0,364.0,275.0,89.0,1.0,28.52,-19.95,-2.56,2020,kan,November,22,2020-11-22
12,Sun,4:25PM ET,1,0,10-1,1,Tampa Bay Buccaneers,27.0,24.0,26.0,543.0,456.0,87.0,1.0,20.0,417.0,342.0,75.0,2.0,20.42,-12.72,-2.46,2020,kan,November,29,2020-11-29
13,Sun,8:20PM ET,1,0,11-1,0,Denver Broncos,22.0,16.0,25.0,447.0,313.0,134.0,0.0,19.0,330.0,151.0,179.0,2.0,14.55,-6.11,0.21,2020,kan,December,6,2020-12-06
14,Sun,1:00PM ET,1,0,12-1,1,Miami Dolphins,33.0,27.0,22.0,448.0,354.0,94.0,4.0,27.0,367.0,287.0,80.0,1.0,3.61,-10.4,14.14,2020,kan,December,13,2020-12-13
15,Sun,4:25PM ET,1,0,13-1,1,New Orleans Saints,32.0,29.0,34.0,411.0,232.0,179.0,1.0,15.0,285.0,225.0,60.0,1.0,12.26,-0.3,-8.71,2020,kan,December,20,2020-12-20
16,Sun,1:00PM ET,1,0,14-1,0,Atlanta Falcons,17.0,14.0,23.0,395.0,278.0,117.0,2.0,23.0,367.0,277.0,90.0,1.0,5.3,-5.95,3.91,2020,kan,December,27,2020-12-27
17,Sun,4:25PM ET,0,0,14-2,0,Los Angeles Chargers,21.0,38.0,18.0,268.0,217.0,51.0,1.0,29.0,416.0,281.0,135.0,0.0,10.71,-25.49,-3.07,2020,kan,January,3,2020-01-03
Division,Sun,3:05PM ET,1,0,15-2,0,Cleveland Browns,22.0,17.0,24.0,438.0,315.0,123.0,1.0,21.0,308.0,196.0,112.0,2.0,19.09,-5.1,-8.48,2020,kan,January,17,2020-01-17
Conf. Champ.,Sun,6:40PM ET,1,0,16-2,0,Buffalo Bills,38.0,24.0,29.0,439.0,325.0,114.0,1.0,24.0,363.0,234.0,129.0,1.0,30.34,-3.03,-9.61,2020,kan,January,24,2020-01-24
SuperBowl,Sun,6:30PM ET,0,0,16-3,0,Tampa Bay Buccaneers,9.0,31.0,22.0,350.0,243.0,107.0,2.0,26.0,340.0,195.0,145.0,0.0,-7.9,-10.75,-1.18,2020,kan,February,7,2020-02-07
1,Sun,4:25PM ET,1,0,1-0,0,Cleveland Browns,33.0,29.0,21.0,397.0,324.0,73.0,0.0,24.0,457.0,304.0,153.0,2.0,19.34,-20.54,-0.35,2021,kan,September,12,2021-09-12
2,Sun,8:20PM ET,0,0,1-1,1,Baltimore Ravens,35.0,36.0,22.0,405.0,343.0,62.0,2.0,31.0,481.0,230.0,251.0,2.0,15.89,-16.88,1.01,2021,kan,September,19,2021-09-19
3,Sun,1:00PM ET,0,0,1-2,0,Los Angeles Chargers,24.0,30.0,33.0,437.0,251.0,186.0,4.0,21.0,352.0,275.0,77.0,0.0,9.49,-16.65,3.01,2021,kan,September,26,2021-09-26
4,Sun,1:00PM ET,1,0,2-2,1,Philadelphia Eagles,42.0,30.0,31.0,471.0,271.0,200.0,1.0,30.0,461.0,358.0,103.0,0.0,34.67,-21.32,-0.7,2021,kan,October,3,2021-10-03
5,Sun,8:20PM ET,0,0,2-3,0,Buffalo Bills,20.0,38.0,29.0,392.0,272.0,120.0,4.0,20.0,436.0,315.0,121.0,0.0,-1.2,-19.84,1.5,2021,kan,October,10,2021-10-10
6,Sun,1:00PM ET,1,0,3-3,1,Washington Football Team,31.0,13.0,29.0,499.0,390.0,109.0,3.0,15.0,276.0,182.0,94.0,2.0,9.15,5.66,1.44,2021,kan,October,17,2021-10-17
7,Sun,1:00PM ET,0,0,3-4,1,Tennessee Titans,3.0,27.0,22.0,334.0,257.0,77.0,3.0,24.0,369.0,266.0,103.0,1.0,-7.62,-15.54,-0.06,2021,kan,October,24,2021-10-24
8,Mon,8:15PM ET,1,0,4-4,0,New York Giants,20.0,17.0,29.0,368.0,261.0,107.0,2.0,18.0,300.0,228.0,72.0,1.0,2.01,2.3,2.73,2021,kan,November,1,2021-11-01
9,Sun,4:25PM ET,1,0,5-4,0,Green Bay Packers,13.0,7.0,14.0,237.0,160.0,77.0,0.0,19.0,301.0,179.0,122.0,2.0,-6.84,0.97,12.35,2021,kan,November,7,2021-11-07
10,Sun,8:20PM ET,1,0,6-4,1,Las Vegas Raiders,41.0,14.0,29.0,516.0,422.0,94.0,1.0,15.0,299.0,249.0,50.0,2.0,34.37,1.08,-7.21,2021,kan,November,14,2021-11-14
