Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
15,Sun,December 15,1:00PM ET,boxscore,0,0,8-6,0,Houston Texans,21.0,24.0,24.0,432.0,269.0,163.0,1.0,23.0,374.0,234.0,140.0,2.0,9.37,-9.03,-6.55,2019,oti,December,15,2019/December/15,2019-12-15
16,Sun,December 22,1:00PM ET,boxscore,0,0,8-7,0,New Orleans Saints,28.0,38.0,17.0,397.0,248.0,149.0,1.0,23.0,377.0,275.0,102.0,0.0,4.25,-13.33,-2.33,2019,oti,December,22,2019/December/22,2019-12-22
17,Sun,December 29,4:25PM ET,boxscore,1,0,9-7,1,Houston Texans,35.0,14.0,25.0,467.0,222.0,245.0,0.0,20.0,301.0,192.0,109.0,1.0,27.49,-1.54,-6.36,2019,oti,December,29,2019/December/29,2019-12-29
Wild Card,Sat,January 4,8:15PM ET,boxscore,1,0,10-7,1,New England Patriots,20.0,13.0,19.0,272.0,71.0,201.0,1.0,18.0,307.0,209.0,98.0,2.0,2.83,0.84,0.2,2019,oti,January,4,2019/January/4,2019-01-04
Division,Sat,January 11,8:15PM ET,boxscore,1,0,11-7,1,Baltimore Ravens,28.0,12.0,15.0,300.0,83.0,217.0,0.0,29.0,530.0,345.0,185.0,3.0,10.45,4.11,1.35,2019,oti,January,11,2019/January/11,2019-01-11
Conf. Champ.,Sun,January 19,3:05PM ET,boxscore,0,0,11-8,1,Kansas City Chiefs,24.0,35.0,20.0,295.0,210.0,85.0,0.0,27.0,404.0,292.0,112.0,0.0,5.92,-29.52,9.99,2019,oti,January,19,2019/January/19,2019-01-19
1,Mon,September 14,10:10PM ET,boxscore,1,0,1-0,1,Denver Broncos,16.0,14.0,26.0,377.0,247.0,130.0,0.0,19.0,323.0,216.0,107.0,1.0,12.3,-3.03,-11.9,2020,oti,September,14,2020/September/14,2020-09-14
2,Sun,September 20,1:00PM ET,boxscore,1,0,2-0,0,Jacksonville Jaguars,33.0,30.0,23.0,354.0,231.0,123.0,0.0,30.0,480.0,315.0,165.0,2.0,21.12,-18.68,3.05,2020,oti,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,1,0,3-0,1,Minnesota Vikings,31.0,30.0,23.0,444.0,310.0,134.0,1.0,22.0,464.0,238.0,226.0,3.0,3.79,-10.21,7.95,2020,oti,September,27,2020/September/27,2020-09-27
5,Tue,October 13,7:00PM ET,boxscore,1,0,4-0,0,Buffalo Bills,42.0,16.0,25.0,334.0,195.0,139.0,0.0,23.0,370.0,275.0,95.0,3.0,24.29,-1.55,0.82,2020,oti,October,13,2020/October/13,2020-10-13
6,Sun,October 18,1:00PM ET,boxscore,1,1,5-0,0,Houston Texans,42.0,36.0,31.0,607.0,344.0,263.0,2.0,25.0,412.0,320.0,92.0,0.0,33.45,-22.14,-5.31,2020,oti,October,18,2020/October/18,2020-10-18
7,Sun,October 25,1:00PM ET,boxscore,0,0,5-1,0,Pittsburgh Steelers,24.0,27.0,15.0,292.0,210.0,82.0,0.0,23.0,362.0,268.0,94.0,3.0,6.99,-6.7,-3.88,2020,oti,October,25,2020/October/25,2020-10-25
8,Sun,November 1,1:00PM ET,boxscore,0,0,5-2,1,Cincinnati Bengals,20.0,31.0,27.0,441.0,223.0,218.0,1.0,27.0,367.0,249.0,118.0,0.0,19.91,-23.57,-5.56,2020,oti,November,1,2020/November/1,2020-11-01
9,Sun,November 8,1:00PM ET,boxscore,1,0,6-2,0,Chicago Bears,24.0,17.0,11.0,228.0,136.0,92.0,0.0,22.0,375.0,319.0,56.0,2.0,-3.34,12.79,-1.5,2020,oti,November,8,2020/November/8,2020-11-08
10,Thu,November 12,8:20PM ET,boxscore,0,0,6-3,0,Indianapolis Colts,17.0,34.0,25.0,294.0,137.0,157.0,0.0,26.0,430.0,297.0,133.0,0.0,9.37,-17.58,-6.81,2020,oti,November,12,2020/November/12,2020-11-12
11,Sun,November 22,1:00PM ET,boxscore,1,1,7-3,1,Baltimore Ravens,30.0,24.0,26.0,423.0,250.0,173.0,1.0,21.0,306.0,177.0,129.0,1.0,13.91,-7.48,0.86,2020,oti,November,22,2020/November/22,2020-11-22
12,Sun,November 29,1:00PM ET,boxscore,1,0,8-3,1,Indianapolis Colts,45.0,26.0,28.0,449.0,220.0,229.0,0.0,27.0,336.0,280.0,56.0,1.0,23.98,-6.68,6.58,2020,oti,November,29,2020/November/29,2020-11-29
13,Sun,December 6,1:00PM ET,boxscore,0,0,8-4,0,Cleveland Browns,35.0,41.0,25.0,431.0,369.0,62.0,3.0,26.0,458.0,340.0,118.0,1.0,9.59,-16.85,-1.78,2020,oti,December,6,2020/December/6,2020-12-06
14,Sun,December 13,1:00PM ET,boxscore,1,0,9-4,1,Jacksonville Jaguars,31.0,10.0,25.0,454.0,205.0,249.0,1.0,20.0,354.0,263.0,91.0,1.0,16.06,3.0,-0.34,2020,oti,December,13,2020/December/13,2020-12-13
15,Sun,December 20,1:00PM ET,boxscore,1,0,10-4,0,Detroit Lions,46.0,25.0,28.0,463.0,268.0,195.0,0.0,27.0,430.0,307.0,123.0,3.0,33.75,-12.36,-2.3,2020,oti,December,20,2020/December/20,2020-12-20
16,Sun,December 27,8:20PM ET,boxscore,0,0,10-5,1,Green Bay Packers,14.0,40.0,15.0,260.0,104.0,156.0,2.0,27.0,448.0,214.0,234.0,1.0,-3.08,-25.88,4.92,2020,oti,December,27,2020/December/27,2020-12-27
17,Sun,January 3,4:25PM ET,boxscore,1,0,11-5,1,Houston Texans,41.0,38.0,28.0,492.0,204.0,288.0,1.0,26.0,457.0,361.0,96.0,1.0,25.43,-17.33,-4.17,2020,oti,January,3,2020/January/3,2020-01-03
Wild Card,Sun,January 10,1:05PM ET,boxscore,0,0,11-6,0,Baltimore Ravens,13.0,20.0,12.0,209.0,158.0,51.0,1.0,22.0,401.0,165.0,236.0,1.0,-2.51,-10.95,2.13,2020,oti,January,10,2020/January/10,2020-01-10
1,Sun,September 12,1:00PM ET,boxscore,0,0,0-1,0,Arizona Cardinals,13.0,38.0,17.0,248.0,162.0,86.0,3.0,22.0,416.0,280.0,136.0,1.0,-14.48,-8.83,-1.57,2021,oti,September,12,2021/September/12,2021-09-12
2,Sun,September 19,4:25PM ET,boxscore,1,1,1-1,1,Seattle Seahawks,33.0,30.0,33.0,532.0,320.0,212.0,1.0,17.0,397.0,320.0,77.0,0.0,17.41,-13.29,-1.06,2021,oti,September,19,2021/September/19,2021-09-19
3,Sun,September 26,1:00PM ET,boxscore,1,0,2-1,0,Indianapolis Colts,25.0,16.0,24.0,368.0,188.0,180.0,3.0,19.0,265.0,178.0,87.0,0.0,7.29,-3.98,4.86,2021,oti,September,26,2021/September/26,2021-09-26
4,Sun,October 3,1:00PM ET,boxscore,0,1,2-2,1,New York Jets,24.0,27.0,30.0,430.0,253.0,177.0,0.0,16.0,355.0,289.0,66.0,1.0,2.8,-8.42,0.71,2021,oti,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,1,0,3-2,1,Jacksonville Jaguars,37.0,19.0,23.0,368.0,184.0,184.0,0.0,24.0,454.0,256.0,198.0,2.0,17.49,-3.06,2.3,2021,oti,October,10,2021/October/10,2021-10-10
6,Mon,October 18,8:15PM ET,boxscore,1,0,4-2,0,Buffalo Bills,34.0,31.0,16.0,362.0,216.0,146.0,1.0,28.0,417.0,335.0,82.0,1.0,15.97,-13.13,0.79,2021,oti,October,18,2021/October/18,2021-10-18
7,Sun,October 24,1:00PM ET,boxscore,1,0,5-2,0,Kansas City Chiefs,27.0,3.0,24.0,369.0,266.0,103.0,1.0,22.0,334.0,257.0,77.0,3.0,15.54,7.62,0.06,2021,oti,October,24,2021/October/24,2021-10-24
8,Sun,October 31,1:00PM ET,boxscore,1,1,6-2,1,Indianapolis Colts,34.0,31.0,18.0,340.0,247.0,93.0,2.0,24.0,307.0,224.0,83.0,3.0,5.81,-3.55,0.74,2021,oti,October,31,2021/October/31,2021-10-31
9,Sun,November 7,8:20PM ET,boxscore,1,0,7-2,1,Los Angeles Rams,28.0,16.0,16.0,194.0,125.0,69.0,1.0,22.0,347.0,253.0,94.0,2.0,1.15,11.78,0.53,2021,oti,November,7,2021/November/7,2021-11-07
10,Sun,November 14,1:00PM ET,boxscore,1,0,8-2,0,New Orleans Saints,23.0,21.0,17.0,264.0,198.0,66.0,0.0,22.0,373.0,287.0,86.0,1.0,1.15,-12.34,13.69,2021,oti,November,14,2021/November/14,2021-11-14
