Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
5,Thu,8:20PM ET,1,0,4-1,0,Tampa Bay Buccaneers,20.0,19.0,18.0,243.0,208.0,35.0,1.0,18.0,339.0,233.0,106.0,1.0,-0.67,3.3,1.05,2020,chi,October,8,2020-10-08
6,Sun,1:00PM ET,1,0,5-1,1,Carolina Panthers,23.0,16.0,22.0,261.0,198.0,63.0,1.0,23.0,303.0,191.0,112.0,3.0,1.01,3.15,2.23,2020,chi,October,18,2020-10-18
7,Mon,8:15PM ET,0,0,5-2,1,Los Angeles Rams,10.0,24.0,14.0,279.0,230.0,49.0,2.0,24.0,371.0,211.0,160.0,1.0,-17.34,-3.2,5.7,2020,chi,October,26,2020-10-26
8,Sun,4:25PM ET,0,1,5-3,0,New Orleans Saints,23.0,26.0,18.0,329.0,233.0,96.0,1.0,23.0,394.0,272.0,122.0,0.0,0.1,-6.13,4.3,2020,chi,November,1,2020-11-01
9,Sun,1:00PM ET,0,0,5-4,1,Tennessee Titans,17.0,24.0,22.0,375.0,319.0,56.0,2.0,11.0,228.0,136.0,92.0,0.0,-12.79,3.34,1.5,2020,chi,November,8,2020-11-08
10,Mon,8:15PM ET,0,0,5-5,0,Minnesota Vikings,13.0,19.0,10.0,149.0,108.0,41.0,2.0,19.0,385.0,286.0,99.0,2.0,-18.69,3.86,8.08,2020,chi,November,16,2020-11-16
12,Sun,8:20PM ET,0,0,5-6,1,Green Bay Packers,25.0,41.0,26.0,350.0,229.0,121.0,3.0,28.0,393.0,211.0,182.0,0.0,6.85,-27.57,-0.48,2020,chi,November,29,2020-11-29
13,Sun,1:00PM ET,0,0,5-7,0,Detroit Lions,30.0,34.0,26.0,389.0,249.0,140.0,1.0,24.0,460.0,400.0,60.0,1.0,12.1,-17.66,0.8,2020,chi,December,6,2020-12-06
14,Sun,1:00PM ET,1,0,6-7,0,Houston Texans,36.0,7.0,23.0,410.0,241.0,169.0,0.0,17.0,263.0,155.0,108.0,2.0,16.71,8.67,2.22,2020,chi,December,13,2020-12-13
15,Sun,1:00PM ET,1,0,7-7,1,Minnesota Vikings,33.0,27.0,23.0,397.0,198.0,199.0,1.0,26.0,407.0,249.0,158.0,1.0,14.23,-11.76,4.0,2020,chi,December,20,2020-12-20
16,Sun,1:00PM ET,1,0,8-7,1,Jacksonville Jaguars,41.0,17.0,28.0,391.0,263.0,128.0,1.0,14.0,279.0,203.0,76.0,2.0,20.23,4.85,-2.73,2020,chi,December,27,2020-12-27
17,Sun,4:25PM ET,0,0,8-8,0,Green Bay Packers,16.0,35.0,21.0,356.0,248.0,108.0,2.0,17.0,316.0,237.0,79.0,1.0,4.91,-22.83,3.56,2020,chi,January,3,2020-01-03
Wild Card,Sun,4:40PM ET,0,0,8-9,1,New Orleans Saints,9.0,21.0,11.0,239.0,191.0,48.0,0.0,27.0,385.0,262.0,123.0,1.0,-7.56,-11.98,9.21,2020,chi,January,10,2020-01-10
1,Sun,8:20PM ET,0,0,0-1,1,Los Angeles Rams,14.0,34.0,24.0,322.0,188.0,134.0,2.0,18.0,386.0,312.0,74.0,0.0,-0.85,-21.58,0.52,2021,chi,September,12,2021-09-12
2,Sun,1:00PM ET,1,0,1-1,0,Cincinnati Bengals,20.0,17.0,16.0,206.0,83.0,123.0,1.0,14.0,248.0,179.0,69.0,4.0,-11.15,16.14,-1.51,2021,chi,September,19,2021-09-19
3,Sun,1:00PM ET,0,0,1-2,1,Cleveland Browns,6.0,26.0,6.0,47.0,1.0,46.0,0.0,26.0,418.0,203.0,215.0,0.0,-19.73,-6.11,2.28,2021,chi,September,26,2021-09-26
4,Sun,1:00PM ET,1,0,2-2,0,Detroit Lions,24.0,14.0,20.0,373.0,185.0,188.0,1.0,23.0,351.0,261.0,90.0,2.0,12.01,-1.56,0.02,2021,chi,October,3,2021-10-03
5,Sun,4:05PM ET,1,0,3-2,1,Las Vegas Raiders,20.0,9.0,19.0,252.0,109.0,143.0,0.0,16.0,259.0,188.0,71.0,1.0,2.39,7.14,2.05,2021,chi,October,10,2021-10-10
6,Sun,1:00PM ET,0,0,3-3,0,Green Bay Packers,14.0,24.0,21.0,277.0,137.0,140.0,1.0,22.0,323.0,169.0,154.0,0.0,4.93,-14.93,-0.3,2021,chi,October,17,2021-10-17
7,Sun,4:25PM ET,0,0,3-4,1,Tampa Bay Buccaneers,3.0,38.0,17.0,311.0,168.0,143.0,5.0,28.0,408.0,226.0,182.0,1.0,-18.58,-16.41,4.77,2021,chi,October,24,2021-10-24
8,Sun,1:00PM ET,0,0,3-5,0,San Francisco 49ers,22.0,33.0,22.0,324.0,148.0,176.0,1.0,21.0,467.0,322.0,145.0,0.0,9.87,-21.75,2.14,2021,chi,October,31,2021-10-31
9,Mon,8:15PM ET,0,0,3-6,1,Pittsburgh Steelers,27.0,29.0,20.0,414.0,278.0,136.0,2.0,20.0,280.0,175.0,105.0,1.0,4.26,-8.46,4.79,2021,chi,November,8,2021-11-08
