Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
Conf. Champ.,Sun,January 19,6:40PM ET,boxscore,0,0,14-4,1,San Francisco 49ers,20.0,37.0,21.0,358.0,296.0,62.0,3.0,19.0,354.0,69.0,285.0,0.0,5.47,-18.03,-2.28,2019,gnb,January,19,2019/January/19,2019-01-19
1,Sun,September 13,1:00PM ET,boxscore,1,0,1-0,1,Minnesota Vikings,43.0,34.0,31.0,522.0,364.0,158.0,0.0,25.0,382.0,248.0,134.0,1.0,28.03,-19.11,3.78,2020,gnb,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,1,0,2-0,0,Detroit Lions,42.0,21.0,26.0,488.0,229.0,259.0,0.0,19.0,307.0,218.0,89.0,1.0,26.08,-2.93,-2.86,2020,gnb,September,20,2020/September/20,2020-09-20
3,Sun,September 27,8:20PM ET,boxscore,1,0,3-0,1,New Orleans Saints,37.0,30.0,24.0,369.0,271.0,98.0,0.0,21.0,397.0,275.0,122.0,1.0,19.67,-14.59,5.23,2020,gnb,September,27,2020/September/27,2020-09-27
4,Mon,October 5,8:15PM ET,boxscore,1,0,4-0,0,Atlanta Falcons,30.0,16.0,22.0,403.0,315.0,88.0,0.0,24.0,327.0,249.0,78.0,0.0,19.46,-5.57,0.14,2020,gnb,October,5,2020/October/5,2020-10-05
6,Sun,October 18,4:25PM ET,boxscore,0,0,4-1,1,Tampa Bay Buccaneers,10.0,38.0,13.0,201.0,107.0,94.0,2.0,21.0,324.0,166.0,158.0,0.0,-21.73,-15.29,4.79,2020,gnb,October,18,2020/October/18,2020-10-18
7,Sun,October 25,1:00PM ET,boxscore,1,0,5-1,1,Houston Texans,35.0,20.0,22.0,379.0,283.0,96.0,0.0,20.0,365.0,286.0,79.0,1.0,20.19,-1.7,-4.25,2020,gnb,October,25,2020/October/25,2020-10-25
8,Sun,November 1,1:00PM ET,boxscore,0,0,5-2,0,Minnesota Vikings,22.0,28.0,24.0,400.0,291.0,109.0,1.0,20.0,324.0,151.0,173.0,0.0,13.95,-20.77,1.23,2020,gnb,November,1,2020/November/1,2020-11-01
9,Thu,November 5,8:20PM ET,boxscore,1,0,6-2,1,San Francisco 49ers,34.0,17.0,21.0,405.0,294.0,111.0,0.0,17.0,337.0,282.0,55.0,2.0,19.59,-0.24,-3.72,2020,gnb,November,5,2020/November/5,2020-11-05
10,Sun,November 15,1:00PM ET,boxscore,1,0,7-2,0,Jacksonville Jaguars,24.0,20.0,16.0,395.0,315.0,80.0,2.0,16.0,260.0,151.0,109.0,1.0,1.82,10.89,-8.95,2020,gnb,November,15,2020/November/15,2020-11-15
