Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
5,Sun,1:00PM ET,1,0,4-0,0,Philadelphia Eagles,38.0,29.0,25.0,367.0,231.0,136.0,1.0,20.0,336.0,242.0,94.0,2.0,20.16,-14.47,3.43,2020,1.0,pit,2020-10-11
6,Sun,1:00PM ET,1,0,5-0,0,Cleveland Browns,38.0,7.0,18.0,277.0,148.0,129.0,0.0,12.0,220.0,145.0,75.0,2.0,6.99,22.96,0.58,2020,1.0,pit,2020-10-18
7,Sun,1:00PM ET,1,0,6-0,1,Tennessee Titans,27.0,24.0,23.0,362.0,268.0,94.0,3.0,15.0,292.0,210.0,82.0,0.0,6.7,-6.99,3.88,2020,1.0,pit,2020-10-25
8,Sun,1:00PM ET,1,0,7-0,1,Baltimore Ravens,28.0,24.0,19.0,221.0,173.0,48.0,1.0,25.0,457.0,192.0,265.0,4.0,4.67,-3.94,-0.54,2020,1.0,pit,2020-11-01
9,Sun,4:25PM ET,1,0,8-0,1,Dallas Cowboys,24.0,19.0,20.0,355.0,309.0,46.0,0.0,19.0,364.0,220.0,144.0,2.0,4.51,3.09,-5.6,2020,1.0,pit,2020-11-08
10,Sun,4:25PM ET,1,0,9-0,0,Cincinnati Bengals,36.0,10.0,22.0,377.0,333.0,44.0,0.0,16.0,324.0,185.0,139.0,2.0,7.92,10.97,-0.05,2020,1.0,pit,2020-11-15
11,Sun,1:00PM ET,1,0,10-0,1,Jacksonville Jaguars,27.0,3.0,23.0,373.0,267.0,106.0,1.0,14.0,206.0,133.0,73.0,4.0,11.97,22.2,-5.91,2020,1.0,pit,2020-11-22
12,Wed,3:40PM ET,1,0,11-0,0,Baltimore Ravens,19.0,14.0,22.0,334.0,266.0,68.0,2.0,10.0,219.0,90.0,129.0,2.0,2.03,12.11,-10.71,2020,1.0,pit,2020-12-02
13,Mon,5:00PM ET,0,0,11-1,0,Washington Football Team,17.0,23.0,17.0,326.0,305.0,21.0,1.0,18.0,318.0,273.0,45.0,0.0,-5.7,7.02,-3.99,2020,0.9166666666666666,pit,2020-12-07
14,Sun,8:20PM ET,0,0,11-2,1,Buffalo Bills,15.0,26.0,14.0,224.0,177.0,47.0,2.0,21.0,334.0,230.0,104.0,2.0,-11.72,-3.18,0.16,2020,0.8461538461538461,pit,2020-12-13
15,Mon,8:15PM ET,0,0,11-3,1,Cincinnati Bengals,17.0,27.0,12.0,244.0,158.0,86.0,3.0,13.0,230.0,78.0,152.0,0.0,-17.2,3.71,4.31,2020,0.7857142857142857,pit,2020-12-21
16,Sun,1:00PM ET,1,0,12-3,0,Indianapolis Colts,28.0,24.0,26.0,354.0,332.0,22.0,0.0,21.0,365.0,238.0,127.0,2.0,8.37,-0.99,-2.01,2020,0.8,pit,2020-12-27
17,Sun,1:00PM ET,0,0,12-4,1,Cleveland Browns,22.0,24.0,18.0,394.0,309.0,85.0,1.0,21.0,358.0,166.0,192.0,0.0,7.05,-12.89,-0.33,2020,0.75,pit,2020-01-03
Wild Card,Sun,8:15PM ET,0,0,12-5,0,Cleveland Browns,37.0,48.0,34.0,553.0,501.0,52.0,5.0,20.0,390.0,263.0,127.0,0.0,4.24,-14.03,-4.08,2020,0.7058823529411765,pit,2020-01-10
1,Sun,1:00PM ET,1,0,1-0,1,Buffalo Bills,23.0,16.0,16.0,252.0,177.0,75.0,0.0,22.0,371.0,254.0,117.0,1.0,-0.61,1.73,-4.12,2021,1.0,pit,2021-09-12
2,Sun,1:00PM ET,0,0,1-1,0,Las Vegas Raiders,17.0,26.0,17.0,331.0,292.0,39.0,1.0,22.0,425.0,373.0,52.0,0.0,1.19,-12.75,0.99,2021,0.5,pit,2021-09-19
3,Sun,1:00PM ET,0,0,1-2,0,Cincinnati Bengals,10.0,24.0,21.0,342.0,297.0,45.0,2.0,12.0,268.0,172.0,96.0,1.0,-8.46,-0.17,-6.09,2021,0.3333333333333333,pit,2021-09-26
4,Sun,4:25PM ET,0,0,1-3,1,Green Bay Packers,17.0,27.0,17.0,282.0,220.0,62.0,2.0,23.0,367.0,236.0,131.0,1.0,-5.05,-7.14,3.23,2021,0.25,pit,2021-10-03
5,Sun,1:00PM ET,1,0,2-3,0,Denver Broncos,27.0,19.0,19.0,391.0,244.0,147.0,1.0,17.0,374.0,268.0,106.0,1.0,11.44,-5.37,1.98,2021,0.4,pit,2021-10-10
6,Sun,8:20PM ET,1,1,3-3,0,Seattle Seahawks,23.0,20.0,22.0,345.0,226.0,119.0,1.0,18.0,309.0,165.0,144.0,1.0,-1.52,3.89,1.09,2021,0.5,pit,2021-10-17
8,Sun,1:00PM ET,1,0,4-3,1,Cleveland Browns,15.0,10.0,21.0,370.0,255.0,115.0,0.0,19.0,306.0,210.0,96.0,1.0,1.77,2.67,-0.11,2021,0.5714285714285714,pit,2021-10-31
9,Mon,8:15PM ET,1,0,5-3,0,Chicago Bears,29.0,27.0,20.0,280.0,175.0,105.0,1.0,20.0,414.0,278.0,136.0,2.0,8.46,-4.26,-4.79,2021,0.625,pit,2021-11-08
10,Sun,1:00PM ET,0,1,5-3-1,0,Detroit Lions,16.0,16.0,22.0,387.0,242.0,145.0,3.0,17.0,306.0,77.0,229.0,0.0,-6.61,5.57,1.04,2021,0.5555555555555556,pit,2021-11-14
