Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
14,Sun,December 13,1:00PM ET,boxscore,1,0,4-9,1,Cincinnati Bengals,30.0,7.0,16.0,272.0,171.0,101.0,0.0,18.0,309.0,208.0,101.0,3.0,8.06,14.89,0.7,2020,dal,December,13,2020/December/13,2020-12-13
15,Sun,December 20,1:00PM ET,boxscore,1,0,5-9,0,San Francisco 49ers,41.0,33.0,15.0,291.0,204.0,87.0,0.0,28.0,458.0,308.0,150.0,4.0,4.47,-11.28,12.91,2020,dal,December,20,2020/December/20,2020-12-20
16,Sun,December 27,4:25PM ET,boxscore,1,0,6-9,0,Philadelphia Eagles,37.0,17.0,22.0,513.0,362.0,151.0,1.0,24.0,477.0,326.0,151.0,3.0,23.4,-5.42,-0.38,2020,dal,December,27,2020/December/27,2020-12-27
17,Sun,January 3,1:00PM ET,boxscore,0,0,6-10,1,New York Giants,19.0,23.0,26.0,307.0,199.0,108.0,1.0,22.0,336.0,211.0,125.0,2.0,-3.56,-4.34,4.88,2020,dal,January,3,2020/January/3,2020-01-03
1,Thu,September 9,8:20PM ET,boxscore,0,0,0-1,1,Tampa Bay Buccaneers,29.0,31.0,30.0,451.0,391.0,60.0,1.0,24.0,431.0,379.0,52.0,4.0,13.67,-9.37,-7.76,2021,dal,September,9,2021/September/9,2021-09-09
2,Sun,September 19,4:25PM ET,boxscore,1,0,1-1,1,Los Angeles Chargers,20.0,17.0,25.0,419.0,221.0,198.0,1.0,24.0,408.0,313.0,95.0,2.0,17.5,-5.55,1.81,2021,dal,September,19,2021/September/19,2021-09-19
3,Mon,September 27,8:15PM ET,boxscore,1,0,2-1,0,Philadelphia Eagles,41.0,21.0,27.0,380.0,220.0,160.0,1.0,12.0,367.0,303.0,64.0,2.0,9.13,11.19,-0.01,2021,dal,September,27,2021/September/27,2021-09-27
4,Sun,October 3,1:00PM ET,boxscore,1,0,3-1,0,Carolina Panthers,36.0,28.0,24.0,433.0,188.0,245.0,0.0,24.0,379.0,266.0,113.0,2.0,19.39,-10.49,1.46,2021,dal,October,3,2021/October/3,2021-10-03
5,Sun,October 10,4:25PM ET,boxscore,1,0,4-1,0,New York Giants,44.0,20.0,26.0,515.0,314.0,201.0,2.0,20.0,367.0,294.0,73.0,2.0,20.79,2.65,2.08,2021,dal,October,10,2021/October/10,2021-10-10
6,Sun,October 17,4:25PM ET,boxscore,1,1,5-1,1,New England Patriots,35.0,29.0,32.0,567.0,445.0,122.0,2.0,17.0,335.0,215.0,120.0,2.0,9.87,-0.65,-0.9,2021,dal,October,17,2021/October/17,2021-10-17
8,Sun,October 31,8:20PM ET,boxscore,1,0,6-1,1,Minnesota Vikings,20.0,16.0,23.0,419.0,341.0,78.0,2.0,17.0,278.0,177.0,101.0,0.0,6.74,2.03,-6.34,2021,dal,October,31,2021/October/31,2021-10-31
9,Sun,November 7,1:00PM ET,boxscore,0,0,6-2,0,Denver Broncos,16.0,30.0,14.0,290.0,212.0,78.0,2.0,23.0,407.0,217.0,190.0,0.0,-5.92,-12.79,1.79,2021,dal,November,7,2021/November/7,2021-11-07
10,Sun,November 14,1:00PM ET,boxscore,1,0,7-2,0,Atlanta Falcons,43.0,3.0,22.0,431.0,317.0,114.0,1.0,11.0,214.0,111.0,103.0,3.0,16.18,22.4,1.92,2021,dal,November,14,2021/November/14,2021-11-14
