Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,win_pct,Team,Timestamp
9,Sun,1:00PM ET,1,0,5-3,0,Tennessee Titans,30.0,20.0,22.0,370.0,214.0,156.0,1.0,24.0,431.0,310.0,121.0,3.0,9.15,-5.05,4.67,2019,0.625,car,2019-11-03
10,Sun,4:25PM ET,0,0,5-4,1,Green Bay Packers,16.0,24.0,26.0,401.0,281.0,120.0,2.0,23.0,388.0,225.0,163.0,0.0,8.55,-17.83,0.11,2019,0.5555555555555556,car,2019-11-10
11,Sun,1:00PM ET,0,0,5-5,0,Atlanta Falcons,3.0,29.0,17.0,347.0,270.0,77.0,4.0,20.0,349.0,295.0,54.0,0.0,-19.3,-6.14,1.12,2019,0.5,car,2019-11-17
12,Sun,1:00PM ET,0,0,5-6,1,New Orleans Saints,31.0,34.0,26.0,351.0,230.0,121.0,1.0,23.0,418.0,300.0,118.0,1.0,16.55,-15.06,-5.89,2019,0.45454545454545453,car,2019-11-24
13,Sun,1:00PM ET,0,0,5-7,0,Washington Redskins,21.0,29.0,22.0,278.0,213.0,65.0,2.0,20.0,362.0,114.0,248.0,0.0,-4.35,-2.59,-0.75,2019,0.4166666666666667,car,2019-12-01
14,Sun,1:00PM ET,0,0,5-8,1,Atlanta Falcons,20.0,40.0,27.0,345.0,245.0,100.0,4.0,22.0,461.0,302.0,159.0,0.0,2.41,-19.83,-5.06,2019,0.38461538461538464,car,2019-12-08
15,Sun,1:00PM ET,0,0,5-9,0,Seattle Seahawks,24.0,30.0,28.0,414.0,269.0,145.0,3.0,21.0,428.0,274.0,154.0,1.0,6.32,-16.22,3.89,2019,0.35714285714285715,car,2019-12-15
16,Sun,1:00PM ET,0,0,5-10,1,Indianapolis Colts,6.0,38.0,19.0,286.0,199.0,87.0,3.0,25.0,324.0,106.0,218.0,0.0,-11.07,-12.71,-6.22,2019,0.3333333333333333,car,2019-12-22
17,Sun,1:00PM ET,0,0,5-11,0,New Orleans Saints,10.0,42.0,16.0,329.0,288.0,41.0,3.0,25.0,379.0,264.0,115.0,0.0,-14.97,-17.52,2.88,2019,0.3125,car,2019-12-29
1,Sun,1:00PM ET,0,0,0-1,0,Las Vegas Raiders,30.0,34.0,22.0,388.0,259.0,129.0,0.0,23.0,372.0,239.0,133.0,0.0,16.44,-19.49,0.04,2020,0.0,car,2020-09-13
2,Sun,1:00PM ET,0,0,0-2,1,Tampa Bay Buccaneers,17.0,31.0,24.0,427.0,340.0,87.0,4.0,20.0,339.0,217.0,122.0,2.0,0.25,-7.61,-4.83,2020,0.0,car,2020-09-20
3,Sun,4:05PM ET,1,0,1-2,1,Los Angeles Chargers,21.0,16.0,14.0,302.0,221.0,81.0,0.0,26.0,436.0,319.0,117.0,4.0,1.18,5.44,-0.62,2020,0.3333333333333333,car,2020-09-27
4,Sun,1:00PM ET,1,0,2-2,0,Arizona Cardinals,31.0,21.0,30.0,444.0,276.0,168.0,1.0,21.0,262.0,133.0,129.0,1.0,23.36,-8.53,-3.47,2020,0.5,car,2020-10-04
5,Sun,1:00PM ET,1,0,3-2,1,Atlanta Falcons,23.0,16.0,24.0,437.0,313.0,124.0,0.0,21.0,373.0,207.0,166.0,1.0,18.13,-6.82,-2.46,2020,0.6,car,2020-10-11
6,Sun,1:00PM ET,0,0,3-3,0,Chicago Bears,16.0,23.0,23.0,303.0,191.0,112.0,3.0,22.0,261.0,198.0,63.0,1.0,-3.15,-1.01,-2.23,2020,0.5,car,2020-10-18
7,Sun,1:00PM ET,0,0,3-4,1,New Orleans Saints,24.0,27.0,18.0,283.0,246.0,37.0,0.0,26.0,415.0,277.0,138.0,1.0,17.99,-21.29,-1.07,2020,0.42857142857142855,car,2020-10-25
8,Thu,8:20PM ET,0,0,3-5,0,Atlanta Falcons,17.0,25.0,18.0,304.0,157.0,147.0,1.0,28.0,401.0,270.0,131.0,1.0,2.21,-15.4,6.84,2020,0.375,car,2020-10-29
9,Sun,1:00PM ET,0,0,3-6,1,Kansas City Chiefs,31.0,33.0,30.0,435.0,331.0,104.0,0.0,24.0,397.0,361.0,36.0,1.0,19.28,-20.48,1.85,2020,0.3333333333333333,car,2020-11-08
10,Sun,1:00PM ET,0,0,3-7,0,Tampa Bay Buccaneers,23.0,46.0,13.0,187.0,122.0,65.0,1.0,30.0,544.0,334.0,210.0,1.0,-6.81,-27.3,11.18,2020,0.3,car,2020-11-15
11,Sun,1:00PM ET,1,0,4-7,0,Detroit Lions,20.0,0.0,20.0,374.0,258.0,116.0,2.0,10.0,185.0,145.0,40.0,1.0,-1.61,18.63,3.12,2020,0.36363636363636365,car,2020-11-22
12,Sun,1:00PM ET,0,0,4-8,1,Minnesota Vikings,27.0,28.0,21.0,374.0,267.0,107.0,1.0,26.0,387.0,291.0,96.0,3.0,7.73,-0.99,-7.86,2020,0.3333333333333333,car,2020-11-29
