Week,Day,Time,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp
8,Sun,1:00PM ET,0,0,5-2,0,Pittsburgh Steelers,24.0,28.0,25.0,457.0,192.0,265.0,4.0,19.0,221.0,173.0,48.0,1.0,3.94,-4.67,0.54,2020,rav,November,1,2020-11-01
9,Sun,1:00PM ET,1,0,6-2,1,Indianapolis Colts,24.0,10.0,19.0,266.0,156.0,110.0,1.0,20.0,339.0,227.0,112.0,2.0,-0.58,13.1,-1.45,2020,rav,November,8,2020-11-08
10,Sun,8:20PM ET,0,0,6-3,1,New England Patriots,17.0,23.0,19.0,357.0,242.0,115.0,1.0,25.0,308.0,135.0,173.0,0.0,3.45,-13.95,1.86,2020,rav,November,15,2020-11-15
11,Sun,1:00PM ET,0,1,6-4,0,Tennessee Titans,24.0,30.0,21.0,306.0,177.0,129.0,1.0,26.0,423.0,250.0,173.0,1.0,7.48,-13.91,-0.86,2020,rav,November,22,2020-11-22
12,Wed,3:40PM ET,0,0,6-5,1,Pittsburgh Steelers,14.0,19.0,10.0,219.0,90.0,129.0,2.0,22.0,334.0,266.0,68.0,2.0,-12.11,-2.03,10.71,2020,rav,December,2,2020-12-02
13,Tue,8:05PM ET,1,0,7-5,0,Dallas Cowboys,34.0,17.0,19.0,401.0,107.0,294.0,1.0,29.0,388.0,277.0,111.0,1.0,19.5,-10.45,3.43,2020,rav,December,8,2020-12-08
14,Mon,8:15PM ET,1,0,8-5,1,Cleveland Browns,47.0,42.0,25.0,385.0,154.0,231.0,0.0,33.0,493.0,355.0,138.0,1.0,24.92,-23.63,5.17,2020,rav,December,14,2020-12-14
15,Sun,1:00PM ET,1,0,9-5,0,Jacksonville Jaguars,40.0,14.0,26.0,409.0,250.0,159.0,1.0,17.0,267.0,205.0,62.0,1.0,24.92,1.7,-0.13,2020,rav,December,20,2020-12-20
16,Sun,1:00PM ET,1,0,10-5,0,New York Giants,27.0,13.0,25.0,432.0,183.0,249.0,1.0,24.0,269.0,215.0,54.0,0.0,17.45,3.69,-5.16,2020,rav,December,27,2020-12-27
17,Sun,1:00PM ET,1,0,11-5,1,Cincinnati Bengals,38.0,3.0,24.0,525.0,121.0,404.0,1.0,10.0,195.0,48.0,147.0,2.0,24.61,14.61,-7.13,2020,rav,January,3,2020-01-03
Wild Card,Sun,1:05PM ET,1,0,12-5,1,Tennessee Titans,20.0,13.0,22.0,401.0,165.0,236.0,1.0,12.0,209.0,158.0,51.0,1.0,10.95,2.51,-2.13,2020,rav,January,10,2020-01-10
Division,Sat,8:15PM ET,0,0,12-6,1,Buffalo Bills,3.0,17.0,19.0,340.0,190.0,150.0,1.0,17.0,220.0,188.0,32.0,0.0,-14.36,3.68,-1.22,2020,rav,January,16,2020-01-16
1,Mon,8:15PM ET,0,1,0-1,1,Las Vegas Raiders,27.0,33.0,20.0,406.0,217.0,189.0,2.0,26.0,491.0,409.0,82.0,1.0,3.0,-11.58,2.58,2021,rav,September,13,2021-09-13
2,Sun,8:20PM ET,1,0,1-1,0,Kansas City Chiefs,36.0,35.0,31.0,481.0,230.0,251.0,2.0,22.0,405.0,343.0,62.0,2.0,16.88,-15.89,-1.01,2021,rav,September,19,2021-09-19
3,Sun,1:00PM ET,1,0,2-1,1,Detroit Lions,19.0,17.0,15.0,387.0,271.0,116.0,1.0,22.0,285.0,192.0,93.0,0.0,5.18,-5.76,1.42,2021,rav,September,26,2021-09-26
4,Sun,4:25PM ET,1,0,3-1,1,Denver Broncos,23.0,7.0,20.0,406.0,304.0,102.0,0.0,15.0,254.0,148.0,106.0,1.0,3.9,10.92,1.59,2021,rav,October,3,2021-10-03
5,Mon,8:15PM ET,1,1,4-1,0,Indianapolis Colts,31.0,25.0,30.0,523.0,437.0,86.0,1.0,29.0,513.0,390.0,123.0,1.0,21.15,-24.0,6.85,2021,rav,October,11,2021-10-11
6,Sun,1:00PM ET,1,0,5-1,0,Los Angeles Chargers,34.0,6.0,27.0,327.0,140.0,187.0,2.0,14.0,208.0,182.0,26.0,1.0,7.5,13.93,4.48,2021,rav,October,17,2021-10-17
7,Sun,1:00PM ET,0,0,5-2,0,Cincinnati Bengals,17.0,41.0,20.0,393.0,278.0,115.0,0.0,19.0,520.0,409.0,111.0,1.0,-2.69,-19.58,2.13,2021,rav,October,24,2021-10-24
9,Sun,1:00PM ET,1,1,6-2,0,Minnesota Vikings,34.0,31.0,36.0,500.0,253.0,247.0,2.0,13.0,318.0,187.0,131.0,0.0,20.4,-9.21,-8.25,2021,rav,November,7,2021-11-07
10,Thu,8:20PM ET,0,0,6-3,1,Miami Dolphins,10.0,22.0,23.0,304.0,210.0,94.0,2.0,17.0,350.0,290.0,60.0,0.0,-13.81,4.72,-0.84,2021,rav,November,11,2021-11-11
