Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
Wild Card,Sat,January 4,4:35PM ET,boxscore,1,1,11-6,0,Buffalo Bills,22.0,19.0,19.0,360.0,219.0,141.0,1.0,24.0,425.0,253.0,172.0,1.0,2.61,1.04,-1.38,2019,htx,January,4,2019/January/4,2019-01-04
Division,Sun,January 12,3:05PM ET,boxscore,0,0,11-7,1,Kansas City Chiefs,31.0,51.0,23.0,442.0,348.0,94.0,1.0,29.0,434.0,316.0,118.0,1.0,5.46,-28.73,6.77,2019,htx,January,12,2019/January/12,2019-01-12
1,Thu,September 10,8:20PM ET,boxscore,0,0,0-1,1,Kansas City Chiefs,20.0,34.0,21.0,360.0,242.0,118.0,1.0,28.0,369.0,203.0,166.0,0.0,8.16,-22.94,-1.59,2020,htx,September,10,2020/September/10,2020-09-10
2,Sun,September 20,4:25PM ET,boxscore,0,0,0-2,0,Baltimore Ravens,16.0,33.0,18.0,304.0,253.0,51.0,2.0,23.0,407.0,177.0,230.0,0.0,-5.68,-15.93,3.2,2020,htx,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,0,0,0-3,1,Pittsburgh Steelers,21.0,28.0,13.0,260.0,231.0,29.0,1.0,25.0,387.0,218.0,169.0,0.0,4.41,-15.39,2.08,2020,htx,September,27,2020/September/27,2020-09-27
4,Sun,October 4,1:00PM ET,boxscore,0,0,0-4,0,Minnesota Vikings,23.0,31.0,20.0,386.0,290.0,96.0,1.0,24.0,410.0,248.0,162.0,0.0,8.81,-17.07,1.44,2020,htx,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,1,0,1-4,0,Jacksonville Jaguars,30.0,14.0,24.0,486.0,357.0,129.0,2.0,22.0,364.0,289.0,75.0,2.0,18.24,-2.21,1.26,2020,htx,October,11,2020/October/11,2020-10-11
6,Sun,October 18,1:00PM ET,boxscore,0,1,1-5,1,Tennessee Titans,36.0,42.0,25.0,412.0,320.0,92.0,0.0,31.0,607.0,344.0,263.0,2.0,22.14,-33.45,5.31,2020,htx,October,18,2020/October/18,2020-10-18
7,Sun,October 25,1:00PM ET,boxscore,0,0,1-6,0,Green Bay Packers,20.0,35.0,20.0,365.0,286.0,79.0,1.0,22.0,379.0,283.0,96.0,0.0,1.7,-20.19,4.25,2020,htx,October,25,2020/October/25,2020-10-25
9,Sun,November 8,1:00PM ET,boxscore,1,0,2-6,1,Jacksonville Jaguars,27.0,25.0,19.0,374.0,267.0,107.0,1.0,22.0,403.0,288.0,115.0,1.0,9.52,-7.61,1.03,2020,htx,November,8,2020/November/8,2020-11-08
10,Sun,November 15,1:00PM ET,boxscore,0,0,2-7,1,Cleveland Browns,7.0,10.0,16.0,243.0,153.0,90.0,0.0,20.0,356.0,125.0,231.0,0.0,-0.68,-5.49,-2.92,2020,htx,November,15,2020/November/15,2020-11-15
11,Sun,November 22,1:00PM ET,boxscore,1,0,3-7,0,New England Patriots,27.0,20.0,21.0,399.0,344.0,55.0,0.0,22.0,435.0,349.0,86.0,0.0,15.69,-13.67,0.27,2020,htx,November,22,2020/November/22,2020-11-22
12,Thu,November 26,12:30PM ET,boxscore,1,0,4-7,1,Detroit Lions,41.0,25.0,21.0,384.0,307.0,77.0,1.0,28.0,388.0,279.0,109.0,3.0,11.31,3.34,-0.56,2020,htx,November,26,2020/November/26,2020-11-26
13,Sun,December 6,1:00PM ET,boxscore,0,0,4-8,0,Indianapolis Colts,20.0,26.0,20.0,398.0,308.0,90.0,2.0,25.0,371.0,262.0,109.0,0.0,5.59,-8.59,-1.28,2020,htx,December,6,2020/December/6,2020-12-06
