Week,Day,Date,Time,BoxScore,W/L,OT,Record,@,Opponent,TeamScore,OpponentScore,Off_1stDn,Off_Totyd,Off_PassYd,Off_RushYd,Off_TO,Def_1stDn,Def_Totyd,Def_PassYd,Def_RushYd,Def_TO,ExpOff,ExpDef,ExpSpTeams,year,Team,month,day,Timestamp_str,Timestamp
1,Sun,September 13,1:00PM ET,boxscore,0,0,0-1,1,Washington Football Team,17.0,27.0,19.0,265.0,208.0,57.0,3.0,18.0,239.0,159.0,80.0,0.0,-16.45,6.28,1.28,2020,phi,September,13,2020/September/13,2020-09-13
2,Sun,September 20,1:00PM ET,boxscore,0,0,0-2,0,Los Angeles Rams,19.0,37.0,25.0,363.0,242.0,121.0,3.0,30.0,449.0,258.0,191.0,1.0,-0.85,-27.57,8.25,2020,phi,September,20,2020/September/20,2020-09-20
3,Sun,September 27,1:00PM ET,boxscore,0,1,0-2-1,0,Cincinnati Bengals,23.0,23.0,27.0,378.0,206.0,172.0,2.0,24.0,304.0,256.0,48.0,0.0,1.65,0.48,-1.44,2020,phi,September,27,2020/September/27,2020-09-27
4,Sun,October 4,8:20PM ET,boxscore,1,0,1-2-1,1,San Francisco 49ers,25.0,20.0,18.0,267.0,174.0,93.0,1.0,25.0,417.0,301.0,116.0,3.0,0.66,-0.02,3.75,2020,phi,October,4,2020/October/4,2020-10-04
5,Sun,October 11,1:00PM ET,boxscore,0,0,1-3-1,1,Pittsburgh Steelers,29.0,38.0,20.0,336.0,242.0,94.0,2.0,25.0,367.0,231.0,136.0,1.0,14.47,-20.16,-3.43,2020,phi,October,11,2020/October/11,2020-10-11
6,Sun,October 18,1:00PM ET,boxscore,0,0,1-4-1,0,Baltimore Ravens,28.0,30.0,19.0,364.0,170.0,194.0,1.0,17.0,355.0,173.0,182.0,0.0,1.83,0.7,-9.68,2020,phi,October,18,2020/October/18,2020-10-18
7,Thu,October 22,8:20PM ET,boxscore,1,0,2-4-1,0,New York Giants,22.0,21.0,27.0,442.0,346.0,96.0,1.0,17.0,325.0,165.0,160.0,3.0,2.8,1.65,-1.27,2020,phi,October,22,2020/October/22,2020-10-22
8,Sun,November 1,8:20PM ET,boxscore,1,0,3-4-1,0,Dallas Cowboys,23.0,9.0,18.0,222.0,103.0,119.0,4.0,21.0,265.0,132.0,133.0,2.0,-11.99,21.74,-1.73,2020,phi,November,1,2020/November/1,2020-11-01
10,Sun,November 15,1:00PM ET,boxscore,0,0,3-5-1,1,New York Giants,17.0,27.0,22.0,346.0,190.0,156.0,0.0,22.0,382.0,231.0,151.0,0.0,2.7,-14.42,-4.88,2020,phi,November,15,2020/November/15,2020-11-15
11,Sun,November 22,1:00PM ET,boxscore,0,0,3-6-1,1,Cleveland Browns,17.0,22.0,19.0,315.0,209.0,106.0,3.0,17.0,324.0,187.0,137.0,1.0,-10.55,4.43,-1.99,2020,phi,November,22,2020/November/22,2020-11-22
12,Mon,November 30,8:15PM ET,boxscore,0,0,3-7-1,0,Seattle Seahawks,17.0,23.0,18.0,250.0,180.0,70.0,1.0,20.0,301.0,225.0,76.0,0.0,-6.08,-0.57,-1.79,2020,phi,November,30,2020/November/30,2020-11-30
13,Sun,December 6,4:25PM ET,boxscore,0,0,3-8-1,1,Green Bay Packers,16.0,30.0,17.0,278.0,161.0,117.0,1.0,20.0,437.0,288.0,149.0,0.0,-2.33,-19.58,8.04,2020,phi,December,6,2020/December/6,2020-12-06
14,Sun,December 13,4:25PM ET,boxscore,1,0,4-8-1,0,New Orleans Saints,24.0,21.0,21.0,413.0,167.0,246.0,1.0,20.0,358.0,262.0,96.0,2.0,6.77,-4.23,1.33,2020,phi,December,13,2020/December/13,2020-12-13
15,Sun,December 20,4:05PM ET,boxscore,0,0,4-9-1,1,Arizona Cardinals,26.0,33.0,26.0,422.0,305.0,117.0,0.0,26.0,526.0,423.0,103.0,3.0,10.01,-4.72,-12.58,2020,phi,December,20,2020/December/20,2020-12-20
16,Sun,December 27,4:25PM ET,boxscore,0,0,4-10-1,1,Dallas Cowboys,17.0,37.0,24.0,477.0,326.0,151.0,3.0,22.0,513.0,362.0,151.0,1.0,5.42,-23.4,0.38,2020,phi,December,27,2020/December/27,2020-12-27
17,Sun,January 3,8:20PM ET,boxscore,0,0,4-11-1,0,Washington Football Team,14.0,20.0,16.0,216.0,98.0,118.0,3.0,16.0,248.0,145.0,103.0,2.0,-11.71,8.33,-3.56,2020,phi,January,3,2020/January/3,2020-01-03
1,Sun,September 12,1:00PM ET,boxscore,1,0,1-0,1,Atlanta Falcons,32.0,6.0,24.0,434.0,261.0,173.0,0.0,19.0,260.0,136.0,124.0,0.0,13.14,12.48,-2.36,2021,phi,September,12,2021/September/12,2021-09-12
2,Sun,September 19,1:00PM ET,boxscore,0,0,1-1,0,San Francisco 49ers,11.0,17.0,18.0,328.0,177.0,151.0,0.0,23.0,306.0,189.0,117.0,0.0,5.3,-7.86,-2.68,2021,phi,September,19,2021/September/19,2021-09-19
3,Mon,September 27,8:15PM ET,boxscore,0,0,1-2,1,Dallas Cowboys,21.0,41.0,12.0,367.0,303.0,64.0,2.0,27.0,380.0,220.0,160.0,1.0,-11.19,-9.13,0.01,2021,phi,September,27,2021/September/27,2021-09-27
4,Sun,October 3,1:00PM ET,boxscore,0,0,1-3,0,Kansas City Chiefs,30.0,42.0,30.0,461.0,358.0,103.0,0.0,31.0,471.0,271.0,200.0,1.0,21.32,-34.67,0.7,2021,phi,October,3,2021/October/3,2021-10-03
5,Sun,October 10,1:00PM ET,boxscore,1,0,2-3,1,Carolina Panthers,21.0,18.0,15.0,273.0,182.0,91.0,2.0,17.0,267.0,158.0,109.0,3.0,-15.13,16.27,3.99,2021,phi,October,10,2021/October/10,2021-10-10
6,Thu,October 14,8:20PM ET,boxscore,0,0,2-4,0,Tampa Bay Buccaneers,22.0,28.0,16.0,213.0,113.0,100.0,1.0,27.0,399.0,297.0,102.0,1.0,9.52,-15.69,-3.01,2021,phi,October,14,2021/October/14,2021-10-14
7,Sun,October 24,4:05PM ET,boxscore,0,0,2-5,1,Las Vegas Raiders,22.0,33.0,22.0,358.0,223.0,135.0,2.0,23.0,442.0,323.0,119.0,1.0,4.67,-18.0,-1.38,2021,phi,October,24,2021/October/24,2021-10-24
8,Sun,October 31,1:00PM ET,boxscore,1,0,3-5,1,Detroit Lions,44.0,6.0,27.0,350.0,114.0,236.0,0.0,15.0,228.0,171.0,57.0,1.0,18.7,17.4,1.69,2021,phi,October,31,2021/October/31,2021-10-31
9,Sun,November 7,4:05PM ET,boxscore,0,0,3-6,0,Los Angeles Chargers,24.0,27.0,20.0,331.0,155.0,176.0,0.0,28.0,445.0,356.0,89.0,0.0,17.56,-20.72,1.49,2021,phi,November,7,2021/November/7,2021-11-07
10,Sun,November 14,4:25PM ET,boxscore,1,0,4-6,1,Denver Broncos,30.0,13.0,22.0,386.0,172.0,214.0,1.0,17.0,308.0,212.0,96.0,1.0,8.45,6.62,-0.91,2021,phi,November,14,2021/November/14,2021-11-14
